time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
45:28.4,1.42171E+12,4.4,3.2,90.8,59.9,100.9,106.9,103.5,48.4,-1.381,-1.469,-1.503
45:28.4,1.42171E+12,13.4,3.2,90.8,50.1,93.4,105.1,99.6,38.1,-1.381,-1.449,-1.503
45:28.5,1.42171E+12,14.9,3.2,100.2,51.7,89.6,103.2,109.4,43.3,-1.376,-1.449,-1.483
45:28.5,1.42171E+12,13.4,3.2,88.9,51.7,93.4,101.4,95.8,34.7,-1.371,-1.43,-1.488
45:28.5,1.42171E+12,16.4,11.4,96.4,50.1,89.6,101.4,93.8,34.7,-1.381,-1.454,-1.518
45:28.5,1.42171E+12,23.9,1.6,88.9,48.5,85.9,95.8,91.9,41.5,-1.376,-1.449,-1.503
45:28.6,1.42171E+12,14.9,1.6,87.1,53.4,85.9,103.2,90,36.4,-1.391,-1.444,-1.483
45:28.6,1.42171E+12,10.4,1.6,92.7,55,85.9,99.5,90,34.7,-1.4,-1.459,-1.498
45:28.6,1.42171E+12,16.4,1.6,88.9,51.7,85.9,99.5,84.3,26.3,-1.376,-1.483,-1.488
45:28.6,1.42171E+12,17.9,1.6,90.8,53.4,82.1,101.4,82.4,33,-1.371,-1.449,-1.483
45:28.7,1.42171E+12,7.4,0,88.9,58.3,85.9,97.7,90,31.3,-1.376,-1.449,-1.522
45:28.7,1.42171E+12,14.9,11.3,92.7,59.9,85.9,97.7,90,48.4,-1.381,-1.454,-1.518
45:28.7,1.42171E+12,13.4,3.2,88.9,64.9,93.4,95.8,93.8,31.3,-1.366,-1.43,-1.547
45:28.8,1.42171E+12,14.9,3.2,90.8,64.9,85.9,103.2,99.6,33,-1.395,-1.444,-1.503
45:28.8,1.42171E+12,17.9,0,92.7,58.3,89.6,103.2,103.5,39.8,-1.386,-1.449,-1.498
45:28.8,1.42171E+12,0,8,92.7,64.9,89.6,118.2,127.4,62.4,-1.381,-1.449,-1.503
45:28.8,1.42171E+12,14.8,8,92.7,46.9,91.5,135.5,145.8,91.3,-1.381,-1.454,-1.508
45:28.9,1.42171E+12,23.9,8,92.7,45.2,91.5,157.1,152,113.7,-1.376,-1.415,-1.469
45:28.9,1.42171E+12,16.3,19.5,83.4,43.6,95.2,139.3,133.5,121.3,-1.371,-1.459,-1.508
45:28.9,1.42171E+12,16.3,9.7,74.2,40.4,84,139.3,121.4,102.4,-1.371,-1.435,-1.498
45:28.9,1.42171E+12,14.8,17.8,68.8,38.8,71.1,139.3,107.5,95,-1.347,-1.444,-1.503
45:29.0,1.42171E+12,14.8,8,63.4,38.8,60.2,99.5,90,71.3,-1.391,-1.449,-1.503
45:29.0,1.42171E+12,16.3,8,52.7,32.5,46,72.4,67.3,53.6,-1.371,-1.557,-1.464
45:29.0,1.42171E+12,16.3,6.4,45.7,30.9,39,56.6,38.2,48.4,-1.376,-1.444,-1.503
45:29.1,1.42171E+12,14.8,4.8,40.4,35.6,30.3,32.7,49,41.5,-1.381,-1.449,-1.522
45:29.1,1.42171E+12,16.3,0,43.9,35.6,23.5,37.8,45.4,41.5,-1.381,-1.449,-1.552
45:29.1,1.42171E+12,16.3,3.2,31.8,35.6,18.4,34.4,41.8,41.5,-1.376,-1.444,-1.503
45:29.1,1.42171E+12,14.8,11.2,38.7,34,18.4,32.7,40,39.8,-1.351,-1.454,-1.503
45:29.1,1.42171E+12,16.3,11.2,37,34,18.4,29.4,41.8,39.8,-1.356,-1.454,-1.503
45:29.2,1.42171E+12,19.3,12.8,35.2,32.5,11.6,19.4,29.3,36.4,-1.381,-1.454,-1.498
45:29.2,1.42171E+12,14.8,11.2,37,27.7,16.7,26,24.1,38.1,-1.361,-1.444,-1.513
45:29.2,1.42171E+12,14.8,11.2,30.1,32.5,11.6,24.4,24.1,33,-1.371,-1.425,-1.459
45:29.3,1.42171E+12,16.3,17.7,35.2,32.5,23.5,22.7,34.6,34.7,-1.366,-1.449,-1.513
45:29.3,1.42171E+12,14.8,0,31.8,32.5,11.6,26,34.6,34.7,-1.376,-1.405,-1.498
45:29.3,1.42171E+12,16.3,11.2,31.8,45.2,11.6,22.7,32.8,34.7,-1.405,-1.444,-1.503
45:29.4,1.42171E+12,13.3,8,26.7,34,10,21.1,34.6,36.4,-1.391,-1.449,-1.503
45:29.4,1.42171E+12,16.3,11.2,33.5,19.9,10,19.4,22.3,33,-1.381,-1.444,-1.503
45:29.4,1.42171E+12,17.8,11.2,25,15.3,8.3,19.4,18.8,34.7,-1.376,-1.439,-1.498
45:29.4,1.42171E+12,11.8,1.6,33.5,32.5,11.6,22.7,25.8,26.3,-1.376,-1.444,-1.557
45:29.5,1.42171E+12,14.8,19.3,30.1,30.9,1.6,9.6,29.3,31.3,-1.376,-1.444,-1.508
45:29.5,1.42171E+12,17.8,14.4,37,32.5,18.4,22.7,31.1,31.3,-1.381,-1.405,-1.498
45:29.5,1.42171E+12,14.8,17.7,40.4,30.9,20.1,27.7,31.1,33,-1.405,-1.488,-1.522
45:29.6,1.42171E+12,19.3,12.8,43.9,32.5,26.9,32.7,47.2,33,-1.405,-1.435,-1.498
45:29.6,1.42171E+12,16.3,14.4,52.7,18.3,44.2,48,50.8,33,-1.376,-1.518,-1.483
45:29.6,1.42171E+12,23.9,12.8,56.2,30.9,63.8,63.6,74.8,41.5,-1.386,-1.449,-1.508
45:29.6,1.42171E+12,11.8,14.4,67,43.6,82.1,81.3,71.1,36.4,-1.371,-1.444,-1.547
45:29.7,1.42171E+12,14.8,29.1,74.2,53.4,76.6,90.4,93.8,41.5,-1.347,-1.454,-1.488
45:29.7,1.42171E+12,14.8,19.3,79.7,63.3,85.9,129.7,135.5,76.7,-1.351,-1.449,-1.503
45:29.7,1.42171E+12,14.8,22.6,85.2,69.9,87.7,106.9,119.4,58.9,-1.435,-1.444,-1.503
45:29.7,1.42171E+12,20.9,20.9,88.9,73.3,89.6,103.2,105.5,45,-1.381,-1.435,-1.498
45:29.8,1.42171E+12,16.3,22.6,90.8,63.3,91.5,97.7,101.6,46.7,-1.381,-1.449,-1.474
45:29.8,1.42171E+12,16.3,20.9,94.5,76.7,91.5,94,95.8,43.3,-1.386,-1.439,-1.503
45:29.8,1.42171E+12,8.9,25.8,88.9,78.4,87.7,94,97.7,39.8,-1.371,-1.449,-1.527
45:29.8,1.42171E+12,16.3,25.8,88.9,71.6,91.5,90.4,97.7,39.8,-1.371,-1.449,-1.474
45:29.9,1.42171E+12,16.3,19.3,88.9,78.4,82.1,95.8,95.8,38.1,-1.391,-1.449,-1.503
45:29.9,1.42171E+12,14.8,19.3,88.9,75,82.1,88.5,93.8,39.8,-1.347,-1.454,-1.498
45:29.9,1.42171E+12,20.9,19.3,87.1,73.3,78.4,103.2,84.3,34.7,-1.381,-1.42,-1.493
45:29.9,1.42171E+12,13.3,20.9,92.7,78.4,72.9,83.1,82.4,34.7,-1.386,-1.454,-1.503
45:30.0,1.42171E+12,16.3,37.5,85.2,69.9,78.4,81.3,82.4,33,-1.381,-1.449,-1.498
45:30.0,1.42171E+12,16.3,22.6,87.1,69.9,82.1,77.7,67.3,29.7,-1.371,-1.449,-1.527
45:30.0,1.42171E+12,16.3,19.3,88.9,61.6,84,77.7,74.8,31.3,-1.405,-1.454,-1.566
45:30.1,1.42171E+12,14.8,12.8,85.2,68.3,82.1,88.5,72.9,29.7,-1.381,-1.449,-1.503
45:30.1,1.42171E+12,13.3,19.3,74.2,78.4,74.8,74.2,74.8,29.7,-1.42,-1.449,-1.503
45:30.1,1.42171E+12,19.3,17.7,88.9,73.3,74.8,74.2,95.8,26.3,-1.376,-1.415,-1.493
45:30.1,1.42171E+12,20.9,17.7,88.9,69.9,74.8,79.5,74.8,28,-1.381,-1.43,-1.508
45:30.2,1.42171E+12,34.6,14.4,87.1,81.8,74.8,74.2,71.1,36.4,-1.386,-1.469,-1.483
45:30.2,1.42171E+12,14.8,22.6,96.4,73.3,74.8,83.1,78.6,26.3,-1.376,-1.449,-1.527
45:30.2,1.42171E+12,14.8,19.3,88.9,71.6,82.1,77.7,82.4,28,-1.376,-1.449,-1.478
45:30.2,1.42171E+12,13.3,12.8,87.1,73.3,84,86.7,97.7,34.7,-1.381,-1.449,-1.498
45:30.3,1.42171E+12,11.8,16,87.1,71.6,85.9,101.4,109.4,45,-1.41,-1.444,-1.503
45:30.3,1.42171E+12,19.3,16,88.9,73.3,87.7,118.2,123.4,67.7,-1.371,-1.425,-1.498
45:30.3,1.42171E+12,13.3,16,88.9,56.7,87.7,139.3,129.4,83.9,-1.381,-1.444,-1.508
45:30.4,1.42171E+12,13.3,16,87.1,58.3,85.9,137.4,117.4,82.1,-1.4,-1.425,-1.503
45:30.4,1.42171E+12,13.3,19.3,87.1,50.1,91.5,135.5,109.4,85.8,-1.376,-1.439,-1.498
45:30.4,1.42171E+12,13.3,16,79.7,51.7,67.5,122,97.7,60.7,-1.366,-1.444,-1.483
45:30.4,1.42171E+12,16.3,0,74.2,46.9,69.3,112.6,80.5,67.7,-1.381,-1.454,-1.503
45:30.5,1.42171E+12,5.9,14.4,43.9,38.8,49.5,79.5,61.8,50.2,-1.391,-1.444,-1.503
45:30.5,1.42171E+12,13.3,12.8,49.2,43.6,40.7,58.3,63.6,43.3,-1.381,-1.439,-1.498
45:30.5,1.42171E+12,13.3,11.2,50.9,40.4,25.2,39.4,43.6,39.8,-1.376,-1.454,-1.498
45:30.5,1.42171E+12,22.4,12.8,35.2,48.5,26.9,39.4,47.2,36.4,-1.371,-1.449,-1.503
45:30.6,1.42171E+12,13.3,11.2,45.7,43.6,26.9,37.8,32.8,38.1,-1.371,-1.43,-1.493
45:30.6,1.42171E+12,13.3,6.4,38.7,40.4,18.4,19.4,38.2,36.4,-1.376,-1.405,-1.518
45:30.6,1.42171E+12,13.3,4.8,40.4,40.4,21.8,34.4,36.4,39.8,-1.386,-1.454,-1.503
45:30.7,1.42171E+12,13.3,9.6,26.7,46.9,16.7,19.4,34.6,33,-1.41,-1.444,-1.527
45:30.7,1.42171E+12,11.8,9.6,35.2,40.4,13.3,34.4,36.4,29.7,-1.356,-1.439,-1.498
45:30.7,1.42171E+12,13.3,9.6,35.2,40.4,6.6,21.1,32.8,31.3,-1.386,-1.449,-1.503
45:30.7,1.42171E+12,13.3,0,30.1,30.9,13.3,21.1,31.1,31.3,-1.376,-1.464,-1.503
45:30.7,1.42171E+12,13.3,9.6,37,43.6,10,21.1,25.8,33,-1.376,-1.43,-1.474
45:30.8,1.42171E+12,13.3,0,30.1,30.9,0,19.4,29.3,29.7,-1.381,-1.449,-1.498
45:30.8,1.42171E+12,11.8,4.8,38.7,38.8,16.6,16.2,29.3,29.7,-1.376,-1.449,-1.513
45:30.9,1.42171E+12,13.3,8,31.8,32.5,0,6.4,29.3,29.7,-1.381,-1.444,-1.508
45:30.9,1.42171E+12,13.3,6.4,45.7,37.2,9.9,16.2,27.6,31.3,-1.356,-1.439,-1.498
45:30.9,1.42171E+12,8.9,9.6,38.7,34,6.6,6.4,27.6,28,-1.386,-1.449,-1.508
45:30.9,1.42171E+12,11.8,8,31.8,38.8,8.3,16.2,24.1,26.3,-1.391,-1.444,-1.503
45:31.0,1.42171E+12,2.9,8,31.8,37.2,8.3,14.5,22.3,34.7,-1.371,-1.483,-1.537
45:31.0,1.42171E+12,13.3,0,40.4,37.2,25.1,19.4,36.4,29.7,-1.371,-1.405,-1.513
45:31.0,1.42171E+12,13.3,4.8,43.9,37.2,25.1,21.1,31.1,34.7,-1.381,-1.449,-1.503
45:31.0,1.42171E+12,13.3,8,40.4,35.6,23.4,26,40,29.7,-1.361,-1.449,-1.488
45:31.1,1.42171E+12,13.3,6.4,52.7,34,38.9,44.5,52.6,28,-1.371,-1.449,-1.498
45:31.1,1.42171E+12,10.3,8,50.9,40.4,47.6,58.3,59.9,31.3,-1.381,-1.454,-1.503
45:31.1,1.42171E+12,14.8,0,59.8,37.2,61.9,74.2,67.3,36.4,-1.381,-1.469,-1.503
45:31.1,1.42171E+12,11.8,9.6,67,56.7,70.9,99.5,93.8,58.9,-1.376,-1.415,-1.483
45:31.2,1.42171E+12,13.3,0,76,50.1,81.9,99.5,95.8,46.7,-1.43,-1.454,-1.503
45:31.2,1.42171E+12,13.3,11.2,85.2,58.3,80.1,135.5,133.5,80.3,-1.381,-1.449,-1.488
45:31.2,1.42171E+12,13.3,14.4,85.2,61.6,93.1,110.7,117.4,60.7,-1.356,-1.449,-1.483
45:31.3,1.42171E+12,13.3,12.8,88.9,66.6,95,110.7,115.4,53.6,-1.371,-1.444,-1.503
45:31.3,1.42171E+12,11.8,16,90.8,76.7,91.2,105.1,113.4,53.6,-1.376,-1.425,-1.488
45:31.3,1.42171E+12,7.4,25.8,90.8,73.3,91.2,99.5,91.9,46.7,-1.381,-1.449,-1.503
45:31.3,1.42171E+12,11.8,14.4,85.2,69.9,87.5,95.8,95.8,46.7,-1.371,-1.483,-1.483
45:31.3,1.42171E+12,13.3,4.8,87.1,73.3,83.8,92.2,97.7,46.7,-1.371,-1.415,-1.425
45:31.4,1.42171E+12,13.3,14.4,87.1,68.3,93.1,90.4,90,41.5,-1.376,-1.454,-1.498
45:31.4,1.42171E+12,13.3,14.4,83.4,66.6,78.2,88.5,93.8,34.7,-1.42,-1.469,-1.483
45:31.4,1.42171E+12,11.8,12.8,76,58.3,81.9,65.3,97.7,38.1,-1.376,-1.444,-1.498
45:31.5,1.42171E+12,11.8,12.8,81.5,56.7,83.8,84.9,86.2,34.7,-1.371,-1.449,-1.474
45:31.5,1.42171E+12,14.8,12.8,96.4,61.6,78.2,83.1,72.9,33,-1.376,-1.449,-1.522
45:31.5,1.42171E+12,11.8,12.8,81.5,59.9,76.4,81.3,82.4,33,-1.391,-1.508,-1.513
45:31.6,1.42171E+12,13.3,1.6,81.5,64.9,76.4,81.3,78.6,31.3,-1.381,-1.444,-1.503
45:31.6,1.42171E+12,4.4,19.3,79.7,61.6,78.2,77.7,71.1,41.5,-1.386,-1.444,-1.503
45:31.6,1.42171E+12,13.3,9.6,79.7,64.9,70.9,74.2,76.7,28,-1.41,-1.469,-1.503
45:31.6,1.42171E+12,11.8,11.2,74.2,58.3,74.6,54.8,82.4,31.3,-1.381,-1.444,-1.498
45:31.7,1.42171E+12,10.3,11.2,87.1,69.9,74.6,77.7,80.5,31.3,-1.376,-1.449,-1.508
45:31.7,1.42171E+12,11.8,11.2,77.9,59.9,74.6,77.7,80.5,36.4,-1.356,-1.488,-1.508
45:31.7,1.42171E+12,11.8,9.6,77.9,81.8,72.7,81.3,101.6,46.7,-1.381,-1.43,-1.498
45:31.8,1.42171E+12,11.8,4.8,79.7,64.9,80.1,99.5,117.4,66,-1.381,-1.444,-1.522
45:31.8,1.42171E+12,14.8,0,79.7,63.3,78.2,108.8,129.4,98.7,-1.386,-1.449,-1.503
45:31.8,1.42171E+12,11.8,25.3,81.5,53.4,70.9,125.8,137.6,123.2,-1.351,-1.459,-1.478
45:31.8,1.42171E+12,11.8,25.3,77.9,46.9,81.9,129.7,137.6,131,-1.381,-1.444,-1.498
45:31.8,1.42171E+12,10.3,26.9,77.9,45.2,74.6,125.8,129.4,125.2,-1.332,-1.459,-1.493
45:31.9,1.42171E+12,4.4,15.7,65.2,45.2,61.9,120.1,125.4,113.7,-1.347,-1.449,-1.508
45:31.9,1.42171E+12,11.8,18.9,58,42,52.9,99.5,99.6,95,-1.371,-1.42,-1.508
45:31.9,1.42171E+12,11.8,22.1,49.2,45.2,44.1,70.6,72.9,69.5,-1.381,-1.454,-1.503
45:32.0,1.42171E+12,10.3,28.5,43.9,40.4,28.5,51.4,58.1,53.6,-1.4,-1.439,-1.464
45:32.0,1.42171E+12,11.8,22.1,37,42,21.7,48,52.6,48.4,-1.391,-1.439,-1.547
45:32.0,1.42171E+12,4.4,15.7,33.5,37.2,20,34.4,38.2,39.8,-1.327,-1.439,-1.498
45:32.0,1.42171E+12,11.8,22.1,31.8,37.2,21.7,32.7,43.6,46.7,-1.381,-1.454,-1.503
45:32.1,1.42171E+12,0,18.9,33.5,32.5,15,27.7,36.4,45,-1.376,-1.435,-1.508
45:32.1,1.42171E+12,23.5,20.5,33.5,35.6,3.3,12.9,36.4,46.7,-1.376,-1.425,-1.483
45:32.1,1.42171E+12,22,18.9,31.8,37.2,15,29.4,38.2,43.3,-1.347,-1.444,-1.522
45:32.1,1.42171E+12,22,26.9,31.8,37.2,16.6,19.4,36.4,41.5,-1.381,-1.449,-1.508
45:32.2,1.42171E+12,23.5,20.5,38.7,37.2,1.6,34.4,36.4,43.3,-1.356,-1.454,-1.493
45:32.2,1.42171E+12,22,25.3,31.8,35.6,8.3,21.1,38.2,39.8,-1.386,-1.449,-1.498
45:32.2,1.42171E+12,23.5,18.9,33.5,38.8,9.9,19.4,34.6,38.1,-1.376,-1.449,-1.503
45:32.3,1.42171E+12,23.5,12.5,30.1,32.5,6.6,19.4,32.8,41.5,-1.376,-1.42,-1.508
45:32.3,1.42171E+12,24.9,18.9,30.1,45.2,8.3,9.6,36.4,39.8,-1.376,-1.469,-1.493
45:32.3,1.42171E+12,23.5,20.5,28.4,35.6,6.6,17.8,32.8,45,-1.381,-1.483,-1.527
45:32.3,1.42171E+12,23.5,20.5,30.1,34,13.3,16.2,36.4,36.4,-1.381,-1.444,-1.503
45:32.4,1.42171E+12,27.9,25.3,31.8,35.6,0,19.4,31.1,36.4,-1.376,-1.483,-1.498
45:32.4,1.42171E+12,24.9,20.5,14.9,30.9,0,16.2,31.1,36.4,-1.347,-1.444,-1.488
45:32.4,1.42171E+12,29.5,18.9,37,38.8,9.9,19.4,29.3,36.4,-1.381,-1.454,-1.503
45:32.5,1.42171E+12,11.6,22.1,40.4,32.5,37,29.4,40,33,-1.386,-1.444,-1.488
