time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:18.4,1.42196E+12,20.9,25.8,24.6,32.1,9.6,15.4,10,24.5,-1.381,-1.493,-1.596
41:18.4,1.42196E+12,20.9,24.2,33,30.6,8,13.9,10,26.2,-1.395,-1.493,-1.601
41:18.4,1.42196E+12,20.9,17.7,24.6,33.7,22.5,26.5,11.7,26.2,-1.469,-1.522,-1.562
41:18.4,1.42196E+12,19.4,17.7,39.8,27.5,9.6,17,13.4,24.5,-1.366,-1.508,-1.576
41:18.4,1.42196E+12,10.4,14.4,26.3,32.1,12.8,15.4,11.7,24.5,-1.405,-1.513,-1.571
41:18.5,1.42196E+12,10.4,17.7,26.3,32.1,12.8,15.4,8.3,24.5,-1.386,-1.493,-1.503
41:18.5,1.42196E+12,20.9,24.2,29.7,25.9,12.8,17,18.5,36.2,-1.4,-1.493,-1.566
41:18.6,1.42196E+12,13.4,25.8,26.3,32.1,16,13.9,18.5,31.2,-1.386,-1.493,-1.581
41:18.6,1.42196E+12,20.9,24.2,38.1,32.1,16,17,13.4,24.5,-1.395,-1.503,-1.596
41:18.6,1.42196E+12,14.9,25.8,34.7,32.1,19.2,10.8,16.8,31.2,-1.395,-1.498,-1.576
41:18.6,1.42196E+12,20.9,19.3,29.7,32.1,25.8,24.9,16.8,26.2,-1.425,-1.508,-1.571
41:18.7,1.42196E+12,10.4,11.2,28,30.6,22.5,18.6,20.2,26.2,-1.405,-1.508,-1.576
41:18.7,1.42196E+12,28.5,19.3,31.3,27.5,24.1,20.1,13.4,19.5,-1.386,-1.498,-1.503
41:18.7,1.42196E+12,20.9,29.1,33,25.9,27.4,20.1,25.4,26.2,-1.4,-1.488,-1.581
41:18.7,1.42196E+12,20.9,11.2,21.3,35.3,1.6,24.9,21.9,24.5,-1.391,-1.493,-1.601
41:18.7,1.42196E+12,20.9,25.8,29.7,33.7,24.1,21.7,20.2,41.3,-1.41,-1.503,-1.591
41:18.8,1.42196E+12,19.4,19.3,28,35.3,24.1,17,18.5,26.2,-1.366,-1.493,-1.566
41:18.8,1.42196E+12,20.9,19.3,29.7,57.7,22.5,20.1,20.2,26.2,-1.395,-1.493,-1.606
41:18.8,1.42196E+12,19.4,17.7,28,38.5,27.4,21.7,20.2,26.2,-1.405,-1.513,-1.571
41:18.9,1.42196E+12,25.5,19.3,28,32.1,19.2,10.8,13.4,24.5,-1.395,-1.508,-1.571
41:18.9,1.42196E+12,20.9,17.7,31.3,30.6,27.4,21.7,28.8,31.2,-1.4,-1.508,-1.571
41:18.9,1.42196E+12,19.4,17.7,26.3,38.5,12.8,13.9,21.9,17.9,-1.391,-1.493,-1.601
41:18.9,1.42196E+12,20.9,27.5,29.7,38.5,27.4,24.9,20.2,26.2,-1.4,-1.498,-1.586
41:19.0,1.42196E+12,20.9,17.7,28,38.5,27.4,20.1,20.2,26.2,-1.371,-1.483,-1.571
41:19.0,1.42196E+12,22.4,19.3,34.7,51.3,29.1,20.1,20.2,24.5,-1.425,-1.498,-1.571
41:19.0,1.42196E+12,22.4,17.7,34.7,40,29.1,21.7,28.8,27.8,-1.425,-1.508,-1.566
41:19.0,1.42196E+12,25.5,17.7,34.7,38.5,25.8,17,10,24.5,-1.395,-1.503,-1.571
41:19.1,1.42196E+12,20.9,25.8,36.4,38.5,37.4,21.7,34,31.2,-1.395,-1.498,-1.571
41:19.1,1.42196E+12,16.4,9.6,36.4,41.6,32.4,23.3,18.5,19.5,-1.391,-1.493,-1.635
41:19.1,1.42196E+12,22.4,30.8,41.5,44.8,40.7,21.7,21.9,24.5,-1.4,-1.488,-1.586
41:19.2,1.42196E+12,22.4,17.7,33,46.4,30.7,28,20.2,26.2,-1.395,-1.498,-1.576
41:19.2,1.42196E+12,20.9,25.8,38.1,46.4,29.1,26.5,23.6,29.5,-1.322,-1.488,-1.576
41:19.2,1.42196E+12,25.5,17.7,39.8,48,32.4,23.3,30.5,22.8,-1.4,-1.503,-1.571
41:19.3,1.42196E+12,34.7,19.3,39.8,38.5,30.7,21.7,13.4,26.2,-1.4,-1.503,-1.61
41:19.3,1.42196E+12,19.4,19.3,39.8,46.4,34,23.3,13.4,27.8,-1.395,-1.488,-1.571
41:19.3,1.42196E+12,20.9,20.9,41.5,49.6,30.7,23.3,21.9,22.8,-1.386,-1.498,-1.625
41:19.4,1.42196E+12,20.9,24.2,38.1,48,27.4,24.9,23.6,27.8,-1.405,-1.493,-1.576
41:19.4,1.42196E+12,20.9,19.3,36.4,48,27.4,17,20.2,21.2,-1.395,-1.503,-1.571
41:19.4,1.42196E+12,20.9,17.7,28,57.7,32.4,24.9,23.6,27.8,-1.444,-1.498,-1.576
41:19.4,1.42196E+12,13.4,19.3,36.4,48,30.7,23.3,15.1,29.5,-1.405,-1.459,-1.557
41:19.4,1.42196E+12,20.9,17.7,38.1,38.5,30.7,23.3,20.2,26.2,-1.4,-1.498,-1.576
41:19.5,1.42196E+12,20.9,19.3,38.1,46.4,32.4,26.5,10,27.8,-1.391,-1.488,-1.571
41:19.5,1.42196E+12,20.9,14.4,38.1,44.8,29.1,23.3,21.9,22.8,-1.391,-1.498,-1.606
41:19.5,1.42196E+12,19.4,17.7,36.4,49.6,27.4,18.6,23.6,4.8,-1.366,-1.503,-1.537
41:19.5,1.42196E+12,20.9,12.8,33,44.8,20.9,17,25.4,24.5,-1.395,-1.503,-1.576
41:19.6,1.42196E+12,17.9,16,36.4,43.2,47.5,21.7,21.9,26.2,-1.444,-1.518,-1.571
41:19.6,1.42196E+12,28.5,16,33,40,25.8,21.7,18.5,29.5,-1.386,-1.464,-1.566
41:19.6,1.42196E+12,37.8,16,34.7,30.6,27.4,23.3,18.5,26.2,-1.395,-1.503,-1.615
41:19.7,1.42196E+12,20.9,16,34.7,41.6,24.1,18.6,15.1,19.5,-1.405,-1.464,-1.576
41:19.7,1.42196E+12,20.9,22.6,41.5,36.9,24.1,31.2,16.8,22.8,-1.391,-1.493,-1.586
41:19.7,1.42196E+12,19.4,12.8,26.3,29,27.4,18.6,15.1,24.5,-1.395,-1.508,-1.537
41:19.7,1.42196E+12,20.9,8,31.3,36.9,25.8,23.3,15.1,22.8,-1.4,-1.498,-1.576
41:19.8,1.42196E+12,19.4,16,33,33.7,20.9,15.4,16.8,24.5,-1.43,-1.503,-1.596
41:19.8,1.42196E+12,14.9,19.3,33,33.7,20.9,17,16.8,24.5,-1.371,-1.469,-1.566
41:19.8,1.42196E+12,17.9,14.4,29.7,24.3,17.6,20.1,23.6,36.2,-1.391,-1.488,-1.684
41:19.8,1.42196E+12,30.1,17.7,26.3,24.3,17.6,20.1,18.5,26.2,-1.4,-1.498,-1.576
41:19.9,1.42196E+12,19.4,19.3,38.1,33.7,17.6,20.1,3.3,22.8,-1.395,-1.498,-1.586
41:19.9,1.42196E+12,20.9,9.6,38.1,32.1,19.2,15.4,16.8,26.2,-1.395,-1.498,-1.547
41:19.9,1.42196E+12,19.4,8,28,33.7,24.1,18.6,15.1,24.5,-1.391,-1.498,-1.566
41:20.0,1.42196E+12,11.9,16,28,0,14.4,15.4,15.1,24.5,-1.43,-1.498,-1.576
41:20.0,1.42196E+12,17.9,19.3,29.7,32.1,14.4,17,15.1,26.2,-1.361,-1.478,-1.566
41:20.0,1.42196E+12,17.9,12.8,26.3,29,14.4,21.7,16.8,24.5,-1.4,-1.498,-1.576
41:20.0,1.42196E+12,30.1,16,22.9,24.3,12.8,17,16.8,22.8,-1.391,-1.503,-1.571
41:20.1,1.42196E+12,23.9,16,26.3,30.6,12.8,18.6,6.7,24.5,-1.386,-1.469,-1.566
41:20.1,1.42196E+12,19.4,6.4,26.3,30.6,6.4,10.8,13.4,9.7,-1.405,-1.493,-1.557
41:20.1,1.42196E+12,23.9,12.8,34.7,32.1,20.9,13.9,11.7,24.5,-1.391,-1.498,-1.571
41:20.2,1.42196E+12,17.9,12.8,26.3,30.6,14.4,12.3,10,27.8,-1.41,-1.493,-1.586
41:20.2,1.42196E+12,23.9,14.4,36.4,29,11.2,13.9,10,22.8,-1.366,-1.488,-1.566
41:20.2,1.42196E+12,17.9,12.8,33,27.5,9.6,10.8,13.4,16.2,-1.439,-1.503,-1.576
41:20.2,1.42196E+12,19.4,12.8,26.3,33.7,9.6,12.3,25.4,24.5,-1.391,-1.483,-1.581
41:20.3,1.42196E+12,23.9,14.4,24.6,30.6,8,10.8,3.3,27.8,-1.391,-1.522,-1.566
41:20.3,1.42196E+12,20.9,12.8,19.6,22.8,9.6,10.8,10,21.2,-1.42,-1.518,-1.508
41:20.3,1.42196E+12,23.9,8,31.3,30.6,14.4,12.3,10,17.9,-1.366,-1.503,-1.581
41:20.3,1.42196E+12,10.4,12.8,24.6,29,1.6,6.1,10,22.8,-1.41,-1.503,-1.571
41:20.4,1.42196E+12,23.9,12.8,34.7,27.5,9.6,12.3,8.3,22.8,-1.366,-1.488,-1.576
41:20.4,1.42196E+12,11.9,11.2,34.7,27.5,6.4,3.1,10,22.8,-1.4,-1.498,-1.576
41:20.4,1.42196E+12,23.9,24.2,24.6,32.1,9.6,13.9,1.7,22.8,-1.4,-1.518,-1.576
41:20.5,1.42196E+12,17.9,12.8,28,32.1,12.8,10.8,8.3,29.5,-1.391,-1.488,-1.552
41:20.5,1.42196E+12,19.4,1.6,21.3,24.3,0,12.3,8.3,22.8,-1.395,-1.503,-1.562
41:20.5,1.42196E+12,19.4,8,29.7,32.1,12.8,12.3,8.3,34.6,-1.395,-1.503,-1.571
41:20.5,1.42196E+12,10.4,12.8,13,18.2,6.4,4.6,10,22.8,-1.41,-1.498,-1.576
41:20.6,1.42196E+12,16.4,11.2,16.3,24.3,6.4,12.3,8.3,22.8,-1.381,-1.488,-1.566
41:20.6,1.42196E+12,10.4,11.2,22.9,33.7,9.6,12.3,6.7,22.8,-1.391,-1.493,-1.576
41:20.6,1.42196E+12,19.4,12.8,24.6,27.5,9.6,12.3,0,22.8,-1.4,-1.508,-1.581
41:20.6,1.42196E+12,17.9,11.2,22.9,29,9.6,12.3,21.8,27.8,-1.391,-1.464,-1.552
41:20.6,1.42196E+12,19.4,0,24.6,29,11.2,10.8,13.3,22.8,-1.386,-1.503,-1.576
41:20.7,1.42196E+12,20.9,11.2,28,27.5,20.9,12.3,13.3,31.2,-1.4,-1.503,-1.566
41:20.7,1.42196E+12,19.4,12.8,24.6,29,14.4,10.8,15,26.2,-1.371,-1.503,-1.547
41:20.8,1.42196E+12,17.9,12.8,34.7,29,16,12.3,16.7,24.5,-1.391,-1.498,-1.576
41:20.8,1.42196E+12,13.4,12.8,26.3,35.3,17.6,13.9,16.7,21.2,-1.395,-1.498,-1.571
41:20.8,1.42196E+12,17.9,14.4,48.4,27.5,19.2,13.9,5,24.5,-1.395,-1.518,-1.562
41:20.9,1.42196E+12,19.4,24.2,26.3,30.6,17.6,13.9,18.4,26.2,-1.391,-1.557,-1.596
41:20.9,1.42196E+12,19.4,1.6,26.3,30.6,20.9,17,20.1,24.5,-1.395,-1.522,-1.571
41:20.9,1.42196E+12,17.9,19.3,28,32.1,20.9,13.9,20.1,17.9,-1.405,-1.493,-1.571
41:20.9,1.42196E+12,20.9,11.2,24.6,32.1,1.6,10.8,20.1,29.5,-1.376,-1.503,-1.571
41:20.9,1.42196E+12,16.4,12.8,19.6,25.9,19.2,0,26.9,24.5,-1.395,-1.493,-1.566
41:21.0,1.42196E+12,16.4,14.4,33,43.2,17.6,24.5,18.4,22.8,-1.4,-1.488,-1.596
41:21.0,1.42196E+12,17.9,9.6,31.3,48,20.9,27.6,11.6,24.5,-1.4,-1.493,-1.596
41:21.0,1.42196E+12,16.4,12.8,26.3,32.1,20.9,33.9,25.2,29.5,-1.395,-1.469,-1.542
41:21.1,1.42196E+12,20.9,4.8,29.7,33.7,19.2,37,28.6,34.6,-1.4,-1.498,-1.581
41:21.1,1.42196E+12,16.4,20.9,29.7,35.3,17.6,45,39,36.2,-1.405,-1.488,-1.522
41:21.1,1.42196E+12,19.4,12.8,28,36.9,14.4,58,53.1,65.6,-1.371,-1.508,-1.542
41:21.1,1.42196E+12,19.4,12.8,22.9,27.5,22.5,91.6,87.7,98.2,-1.4,-1.498,-1.566
41:21.1,1.42196E+12,16.4,14.4,34.7,35.3,22.5,213.5,432.8,256.4,-1.337,-1.513,-1.562
41:21.2,1.42196E+12,17.9,12.8,28,32.1,22.5,89.9,74.8,78.1,-1.4,-1.547,-1.606
41:21.2,1.42196E+12,22.4,12.8,28,33.7,22.5,61.3,63.8,58.6,-1.391,-1.474,-1.566
41:21.2,1.42196E+12,25.5,11.2,28,33.7,25.8,58,47.8,49.9,-1.395,-1.503,-1.596
41:21.3,1.42196E+12,11.9,0,29.7,35.3,14.4,43.4,37.2,48.2,-1.405,-1.498,-1.576
41:21.3,1.42196E+12,19.4,14.4,38.1,36.9,14.4,56.4,46,51.6,-1.371,-1.508,-1.562
41:21.3,1.42196E+12,10.4,6.4,21.3,35.3,24.1,49.9,42.5,44.8,-1.405,-1.493,-1.566
41:21.3,1.42196E+12,17.9,16,38.1,36.9,24.1,59.7,47.8,49.9,-1.4,-1.503,-1.571
41:21.4,1.42196E+12,17.9,14.4,29.7,27.5,20.9,43.4,33.8,39.6,-1.366,-1.508,-1.571
41:21.4,1.42196E+12,22.4,14.4,29.7,33.7,14.4,40.2,35.5,39.6,-1.391,-1.498,-1.562
41:21.4,1.42196E+12,19.4,12.8,24.6,32.1,22.5,40.2,33.8,37.9,-1.4,-1.503,-1.586
41:21.5,1.42196E+12,19.4,14.4,29.7,35.3,14.4,41.8,33.8,36.2,-1.41,-1.488,-1.566
41:21.5,1.42196E+12,17.9,12.8,21.3,33.7,14.4,49.9,33.8,24.5,-1.395,-1.474,-1.615
41:21.5,1.42196E+12,13.4,6.4,19.6,32.1,20.9,41.8,33.8,36.2,-1.405,-1.488,-1.562
41:21.5,1.42196E+12,23.9,14.4,33,29,20.9,38.6,30.3,36.2,-1.366,-1.513,-1.562
