time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:38.4,1.42171E+12,78.7,78.7,84.1,52.2,55.8,489.7,68,91.1,0.662,0.824,0.232
41:38.4,1.42171E+12,41.4,78.7,124.5,61.6,61.6,418.5,47.6,87.7,1.215,0.633,0.203
41:38.5,1.42171E+12,54.7,78.7,72.8,58.5,84.1,489.7,72.8,120.8,0.78,0.521,-0.012
41:38.5,1.42171E+12,54.7,76.9,82.5,61.6,27.2,455.2,84.1,72.5,0.721,0.672,-0.095
41:38.5,1.42171E+12,56.4,76.9,77.6,61.6,141.5,489.7,76,80.9,1.024,0.941,-0.046
41:38.6,1.42171E+12,56.4,63.2,79.2,90.7,61.6,452.1,74.4,89.4,0.706,0.525,0.286
41:38.6,1.42171E+12,54.7,51.4,72.8,61.6,107.4,489.7,47.6,594.6,1.635,0.525,-0.916
41:38.6,1.42171E+12,56.4,91,90.7,61.6,49.9,467.6,109.1,144.5,0.78,0.565,0.266
41:38.7,1.42171E+12,58.1,75.2,102.3,69.6,91.8,610.2,82.5,74.2,0.056,0.882,0.002
41:38.7,1.42171E+12,108.9,114.4,135,82.5,90.2,551.9,94,87.7,0.154,0.599,0.037
41:38.7,1.42171E+12,121.7,173.5,128,95.7,67.5,558.6,100.7,85.9,0.301,1.053,0.491
41:38.7,1.42171E+12,119.9,161.7,131.5,60.1,72,572.2,133.3,99.7,0.452,0.687,-0.032
41:38.8,1.42171E+12,107.1,189.6,135,87.4,84.1,568.8,85.8,67.5,0.907,0.804,0.037
41:38.8,1.42171E+12,134.8,159.7,136.8,85.8,79.5,562,99,113.7,0.276,0.74,0.232
41:38.8,1.42171E+12,78.7,159.7,136.8,66.4,84.1,558.6,94,80.9,0.838,1.053,0.393
41:38.8,1.42171E+12,119.9,159.7,99,79.2,84.1,585.9,97.3,54.4,0.457,0.521,-0.012
41:38.9,1.42171E+12,92.7,136.7,152.9,72.8,85.6,492.9,87.4,82.6,0.525,0.692,-0.09
41:38.9,1.42171E+12,108.9,150.1,126.3,53.8,82.6,551.9,74.4,82.6,0.604,0.868,0.227
41:38.9,1.42171E+12,107.1,165.6,152.9,82.5,90.2,555.2,90.7,84.3,0.359,0.335,-0.174
41:39.0,1.42171E+12,105.3,142.4,143.9,77.6,84.1,518.8,95.7,80.9,0.521,0.525,-0.081
41:39.0,1.42171E+12,99.9,140.5,152.9,97.3,75,551.9,89,62.6,0.535,0.711,0.086
41:39.0,1.42171E+12,78.7,150.1,154.7,77.6,90.2,555.2,72.8,60.9,0.828,0.902,0.134
41:39.0,1.42171E+12,101.7,107.1,158.3,77.6,115.4,492.9,100.7,80.9,0.349,0.525,0.12
41:39.1,1.42171E+12,101.7,121.7,149.3,97.3,75,555.2,72.8,106.7,0.413,0.521,-0.056
41:39.1,1.42171E+12,101.7,132.9,213.2,66.4,79.5,568.8,69.6,77.5,0.569,0.853,0.305
41:39.1,1.42171E+12,105.3,132.9,152.9,97.3,84.1,518.8,66.4,82.6,0.506,0.535,0.13
41:39.1,1.42171E+12,148.1,150.1,126.3,90.7,81.1,572.2,85.8,89.4,0.232,0.701,0.281
41:39.2,1.42171E+12,85.7,110.7,149.3,60.1,84.1,568.8,89,84.3,0.442,0.521,-0.051
41:39.2,1.42171E+12,99.9,134.8,184.3,60.1,78,596.2,90.7,89.4,0.56,0.858,0.325
41:39.2,1.42171E+12,94.5,132.9,213.2,97.3,82.6,579,100.7,169,0.467,0.711,0.022
41:39.3,1.42171E+12,94.5,107.1,149.3,80.9,82.6,7.2,114.2,4769.8,0.755,0.877,0.286
41:39.3,1.42171E+12,76.9,127.3,131.5,79.2,115.4,0,115.9,122.6,0.423,0.525,-0.046
41:39.3,1.42171E+12,58.1,129.2,126.3,58.5,85.6,50.2,119.3,137.1,0.54,0.858,0.305
41:39.3,1.42171E+12,78.7,114.4,143.9,82.5,90.2,0,122.8,186.4,0.814,0.848,0.193
41:39.4,1.42171E+12,63.2,112.5,152.9,79.2,85.6,0,131.5,163.2,0.618,0.916,0.237
41:39.4,1.42171E+12,71.7,107.1,119.3,90.7,84.1,7.2,133.3,178.6,0.374,0.525,-0.144
41:39.4,1.42171E+12,73.5,103.5,99,69.6,87.2,0,135,212.4,0.281,0.525,-0.159
41:39.4,1.42171E+12,46.4,80.4,129.7,74.4,90.2,0,128,200.3,0.198,0.711,-0.31
41:39.5,1.42171E+12,71.7,91,126.3,71.2,82.6,11.3,128,202.3,0.315,0.853,-0.159
41:39.5,1.42171E+12,51.4,92.7,152.9,97.3,79.5,678.7,115.9,4663.9,0.257,0.525,-0.164
41:39.5,1.42171E+12,70,94.5,60.1,66.4,76.5,545.2,110.8,576.4,0.477,0.525,0.203
41:39.5,1.42171E+12,63.2,91,112.5,68,73.5,512.3,104,176.7,0.662,0.667,0.203
41:39.6,1.42171E+12,63.2,89.2,92.3,47.6,72,518.8,104,108.4,0.711,0.882,0.437
41:39.6,1.42171E+12,63.2,105.3,138.5,47.6,102.7,505.8,90.7,117.3,0.393,0.521,0.936
41:39.6,1.42171E+12,63.2,85.7,85.8,63.2,104.3,515.5,90.7,128,0.359,0.711,0.53
41:39.7,1.42171E+12,63.2,87.4,107.4,122.8,67.5,492.9,90.7,98,0.423,0.731,0.648
41:39.7,1.42171E+12,63.2,89.2,95.7,64.8,69,489.7,61.6,108.4,0.726,0.78,0.437
41:39.7,1.42171E+12,105.3,98.1,72.8,77.6,67.5,486.6,85.8,108.4,0.305,0.75,0.472
41:39.7,1.42171E+12,44.7,82.2,99,66.4,60.1,486.6,84.1,108.4,0.31,0.525,0.066
41:39.8,1.42171E+12,59.8,83.9,140.3,47.6,64.6,489.7,80.9,103.2,0.623,0.858,0.134
41:39.8,1.42171E+12,59.8,83.9,99,61.6,66.1,467.6,82.5,128,0.77,0.53,-0.046
41:39.8,1.42171E+12,51.4,85.7,82.5,64.8,67.5,480.2,80.9,104.9,0.892,0.892,0.032
41:39.8,1.42171E+12,51.4,83.9,133.3,90.7,67.5,455.2,82.5,103.2,0.794,0.521,-0.428
41:39.9,1.42171E+12,66.6,85.7,95.7,32.3,66.1,492.9,84.1,99.7,0.946,0.521,-0.198
41:39.9,1.42171E+12,91,80.4,95.7,61.6,66.1,467.6,53.8,101.4,1.254,0.672,-0.002
41:39.9,1.42171E+12,43.1,83.9,92.3,97.3,66.1,470.8,79.2,103.2,0.892,0.926,0.389
41:39.9,1.42171E+12,58.1,82.2,74.4,60.1,66.1,467.6,77.6,99.7,1.141,0.721,0.149
41:40.0,1.42171E+12,51.4,80.4,89,61.6,85.6,470.8,79.2,91.1,1.298,1.039,-0.134
41:40.0,1.42171E+12,59.8,54.7,102.3,47.6,47.1,467.6,124.5,101.4,1.029,0.711,-0.037
41:40.0,1.42171E+12,76.9,78.7,94,60.1,72,473.9,60.1,98,1.293,0.594,-0.017
41:40.1,1.42171E+12,25.2,87.4,97.3,60.1,90.2,473.9,80.9,47.9,2.5,0.863,-0.98
41:40.1,1.42171E+12,58.1,99.9,135,61.6,61.6,496.1,80.9,106.7,0.354,0.535,-0.305
41:40.1,1.42171E+12,58.1,58.1,121.1,60.1,84.1,541.9,89,106.7,0.452,0.521,-0.374
41:40.1,1.42171E+12,92.7,107.1,152.9,79.2,67.5,558.6,99,110.2,-0.139,0.711,0.11
41:40.2,1.42171E+12,105.3,129.2,152.9,87.4,90.2,579,99,110.2,0.437,0.828,0.261
41:40.2,1.42171E+12,78.7,121.7,145.7,84.1,94.9,596.2,107.4,128,0.604,0.858,0.12
41:40.2,1.42171E+12,83.9,125.4,176.8,89,98,575.6,92.3,128,0.53,0.545,-0.134
41:40.3,1.42171E+12,101.7,136.7,114.2,89,128.3,638.6,99,157.6,0.374,0.521,-0.002
41:40.3,1.42171E+12,92.7,136.7,143.9,72.8,94.9,531.9,100.7,128,0.447,0.706,0.037
41:40.3,1.42171E+12,98.1,127.3,140.3,87.4,93.3,568.8,100.7,104.9,0.799,0.936,0.081
41:40.3,1.42171E+12,92.7,129.2,119.3,89,81.1,568.8,97.3,110.2,0.408,0.516,-0.037
41:40.4,1.42171E+12,96.3,107.1,126.3,85.8,123.4,572.2,63.2,117.3,0.447,0.521,0.007
41:40.4,1.42171E+12,56.4,127.3,115.9,87.4,55.8,528.6,94,151.9,0.481,0.521,-0.115
41:40.4,1.42171E+12,89.2,114.4,126.3,84.1,87.2,505.8,92.3,80.9,0.731,0.912,0.046
41:40.4,1.42171E+12,91,119.9,129.7,84.1,87.2,531.9,90.7,6264.8,0.232,0.364,0.237
41:40.5,1.42171E+12,87.4,110.7,133.3,97.3,115.4,492.9,102.3,8130.9,0.408,0.516,-0.149
41:40.5,1.42171E+12,82.2,165.6,124.5,82.5,67.5,528.6,90.7,8813,0.472,0.706,0.046
41:40.5,1.42171E+12,83.9,134.8,99,87.4,85.6,525.3,53.8,9153.3,0.828,0.623,0.266
41:40.6,1.42171E+12,105.3,146.2,112.5,117.6,85.6,535.2,90.7,119,0.374,0.755,0.301
41:40.6,1.42171E+12,71.7,110.7,152.9,79.2,85.6,596.2,92.3,128,0.359,0.521,-0.037
41:40.6,1.42171E+12,76.9,108.9,109.1,79.2,85.6,518.8,97.3,120.8,0.643,1.024,0.32
41:40.6,1.42171E+12,75.2,108.9,122.8,82.5,49.9,575.6,107.4,144.5,0.423,0.525,0.115
41:40.6,1.42171E+12,58.1,134.8,121.1,80.9,90.2,3.1,122.8,115.5,0.716,0.799,0.037
