time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
12:18.1,1.42E+12,-0.004263721,0.002131594,-0.005329518,0.007150299,-0.000661071,0.005648714,-0.007184191,0.024141328
12:18.1,1.42E+12,-0.00106633,-0.002132127,-0.005329518,0.005838389,-0.000554492,0.004817349,-0.006502044,0.023135354
12:18.2,1.42E+12,-0.00106633,-0.003197924,-0.003197924,0.004646557,-0.000447912,0.003794131,-0.005692001,0.021924284
12:18.2,1.42E+12,-0.003197924,0.001065797,-0.002132127,0.003988559,-0.000383964,0.002898819,-0.004839321,0.020716356
12:18.2,1.42E+12,-0.002132127,0.001065797,0,0.002383671,-0.00040528,0.002110097,-0.003901366,0.019524523
12:18.2,1.42E+12,-0.002132127,-0.002132127,-0.00106633,0.003198279,-0.000426596,0.001193469,-0.002984738,0.018306278
12:18.2,1.42E+12,0.001065797,-0.004263721,-0.003197924,0.005435251,-0.000341322,0.000212882,-0.002259958,0.017220085
12:18.2,1.42E+12,0.001065797,0.001065797,-0.004263721,0.004522296,-0.000213415,-0.000575839,-0.001812308,0.016335066
12:18.2,1.42E+12,0.003197391,0.003197391,-0.005329518,0.006989305,-8.55089E-05,-0.001257981,-0.001556501,0.015642943
12:18.3,1.42E+12,0.003197391,-0.002132127,-0.003197924,0.004999599,2.10814E-05,-0.002025398,-0.001279383,0.014940782
12:18.3,1.42E+12,0.001065797,-0.006395315,0.001065797,0.006570533,0.000127672,-0.002856757,-0.000959622,0.014303306
12:18.3,1.42E+12,0.001065797,-0.003197924,0.006394783,0.007228824,0.000234262,-0.003368366,-0.000533282,0.013903152
12:18.3,1.42E+12,-0.003197924,0.002131594,0.004263188,0.005739789,0.00019163,-0.003410998,-0.000192206,0.013747458
12:18.3,1.42E+12,-0.004263721,-0.004263721,0.003197391,0.006825097,0.000106356,-0.003517588,4.22803E-05,0.013712094
12:18.4,1.42E+12,-0.003197924,-0.010659036,0.003197391,0.011578647,2.10814E-05,-0.003901297,0.000298093,0.01368609
12:18.4,1.42E+12,0,-0.008526909,0.002131594,0.008789304,-2.3452E-07,-0.00419973,0.000553906,0.013612361
12:18.4,1.42E+12,0.003197391,-0.00106633,-0.00106633,0.00353517,-2.3452E-07,-0.004007876,0.000724444,0.013389215
12:18.4,1.42E+12,0.003197391,0.005328985,-0.004263721,0.007536624,6.37133E-05,-0.003453635,0.000724444,0.013084237
12:18.4,1.42E+12,0.005328985,-0.004263721,-0.003197924,0.007536851,0.000148977,-0.003091248,0.000681812,0.012786298
12:18.5,1.42E+12,0.003197391,-0.004263721,-0.00106633,0.005435042,0.000170293,-0.002814125,0.000575221,0.012520273
12:18.5,1.42E+12,0,0.001065797,-0.00106633,0.001507642,0.000106345,-0.00238778,0.000447315,0.012126755
12:18.5,1.42E+12,0.001065797,0.001065797,-0.00106633,0.001846322,4.23974E-05,-0.001854854,0.000255461,0.011617702
12:18.5,1.42E+12,-0.00106633,0.005328985,-0.002132127,0.005837903,-6.4193E-05,-0.001194023,2.09697E-05,0.011141778
12:18.5,1.42E+12,-0.003197924,0.004263188,-0.00106633,0.005434938,-0.000234731,-0.000575834,-0.000192206,0.010674132
12:18.6,1.42E+12,-0.00106633,0.003197391,-0.003197924,0.004646191,-0.000362637,2.10389E-05,-0.000533277,0.010157006
12:18.6,1.42E+12,-0.002132127,0.002131594,-0.004263721,0.00522197,-0.000490544,0.000511332,-0.000959612,0.009692242
12:18.6,1.42E+12,-0.006395315,0,-0.005329518,0.008324891,-0.000639766,0.000852409,-0.001428589,0.009360632
12:18.6,1.42E+12,-0.005329518,-0.002132127,-0.006395315,0.00859359,-0.000810304,0.001044263,-0.001897556,0.009113695
12:18.6,1.42E+12,0,-0.006395315,-0.004263721,0.007686311,-0.000895568,0.001193485,-0.002259943,0.008866346
12:18.7,1.42E+12,0.003197391,-0.004263721,-0.002132127,0.005740086,-0.000916884,0.001385339,-0.002558382,0.008594493
12:18.7,1.42E+12,-0.00106633,-0.005329518,0.002131594,0.005838194,-0.001002158,0.001470613,-0.00285681,0.008314742
12:18.7,1.42E+12,-0.002132127,-0.009593239,0.004263188,0.010712188,-0.001044801,0.001385339,-0.003027343,0.00825187
12:18.7,1.42E+12,-0.003197924,-0.014922224,0.006394783,0.016546684,-0.001044801,0.001193485,-0.003069975,0.008371778
12:18.7,1.42E+12,-0.003197924,-0.014922224,0.005328985,0.016164701,-0.001066117,0.001044263,-0.003006027,0.008534127
12:18.8,1.42E+12,-0.00106633,-0.008526909,0.003197391,0.00916889,-0.001108759,0.001001631,-0.002878121,0.008572919
12:18.8,1.42E+12,0.003197391,-0.004263721,-0.00106633,0.005435042,-0.001087443,0.000916356,-0.002771541,0.008546796
12:18.8,1.42E+12,0.004263188,-0.002132127,-0.004263721,0.006395315,-0.001044812,0.000852398,-0.002664951,0.008477006
12:18.8,1.42E+12,0.003197391,-0.002132127,-0.005329518,0.006570619,-0.00100218,0.000660544,-0.002537045,0.008329658
12:18.8,1.42E+12,0.002131594,0,-0.003197924,0.003843229,-0.000980864,0.000468695,-0.002366506,0.008102798
12:18.9,1.42E+12,0.001065797,0,-0.003197924,0.003370852,-0.000895589,0.00025553,-0.002195968,0.007846921
12:18.9,1.42E+12,0.001065797,0,-0.006395315,0.006483516,-0.000852947,4.23655E-05,-0.00213201,0.007689005
12:18.9,1.42E+12,0,0.006394783,-0.006395315,0.009043965,-0.000746356,-6.42195E-05,-0.002046735,0.007535536
12:18.9,1.42E+12,-0.00106633,0.005328985,-0.003197924,0.0063057,-0.000661093,-0.000234752,-0.001940156,0.007319252
12:18.9,1.42E+12,-0.002132127,0.004263188,-0.003197924,0.005739987,-0.000618461,-0.000426601,-0.001897524,0.007125144
12:19.0,1.42E+12,0.001065797,0.002131594,-0.006395315,0.00682493,-0.000554502,-0.000682398,-0.00191884,0.006941893
12:19.0,1.42E+12,0.003197391,0.006394783,-0.007461112,0.010333671,-0.000447912,-0.000810299,-0.00191884,0.006849372
12:19.0,1.42E+12,0.001065797,0.006394783,-0.009593239,0.011578403,-0.000383953,-0.000895568,-0.002004114,0.006838826
12:19.0,1.42E+12,0.003197391,-0.00106633,-0.010659036,0.01117924,-0.000234731,-0.00104479,-0.002153336,0.006895918
12:19.0,1.42E+12,0.004263188,-0.007461112,-0.007461112,0.011380297,-0.000064193,-0.00136454,-0.002259916,0.006928153
12:19.1,1.42E+12,0.004263188,-0.005329518,-0.006395315,0.009352999,8.50292E-05,-0.001620342,-0.002323864,0.006940727
12:19.1,1.42E+12,0.004263188,0,-0.004263721,0.006029435,0.000255567,-0.001662974,-0.002302548,0.00691831
12:19.1,1.42E+12,0.002131594,-0.00106633,-0.003197924,0.003988417,0.000319526,-0.001641658,-0.002259916,0.00688131
12:19.1,1.42E+12,0.002131594,-0.006395315,-0.005329518,0.008593457,0.000383484,-0.001705606,-0.002302548,0.006960248
12:19.1,1.42E+12,0.002131594,-0.004263721,-0.005329518,0.007150299,0.000490075,-0.001812196,-0.002366496,0.007023483
12:19.2,1.42E+12,0.001065797,-0.002132127,-0.004263721,0.004884793,0.000554033,-0.001876154,-0.00245177,0.007073506
12:19.2,1.42E+12,0,-0.006395315,-0.005329518,0.008324891,0.000596676,-0.001961418,-0.002537034,0.007176038
12:19.2,1.42E+12,-0.00106633,-0.008526909,-0.003197924,0.009169076,0.000554033,-0.002046682,-0.002537034,0.007250714
12:19.2,1.42E+12,0.002131594,-0.002132127,-0.005329518,0.006123187,0.000575349,-0.00211064,-0.00255835,0.007282732
12:19.2,1.42E+12,0.001065797,0,-0.003197924,0.003370852,0.000532717,-0.002174588,-0.002515718,0.007210363
12:19.3,1.42E+12,-0.002132127,0.002131594,-0.00106633,0.003197924,0.000426127,-0.002089314,-0.002473086,0.00717433
12:19.3,1.42E+12,-0.003197924,0,0,0.003197924,0.000340853,-0.001961408,-0.002494402,0.007106877
12:19.3,1.42E+12,-0.00106633,-0.005329518,-0.00106633,0.005538762,0.00029821,-0.002004039,-0.002643624,0.007073076
12:19.3,1.42E+12,0,-0.006395315,0.001065797,0.006483516,0.000362168,-0.002174578,-0.002707572,0.007087951
12:19.3,1.42E+12,-0.00106633,-0.004263721,0.004263188,0.006123002,0.000426116,-0.002174578,-0.002686256,0.007073909
12:19.4,1.42E+12,-0.002132127,0,0.005328985,0.00573969,0.000447432,-0.001961397,-0.002643624,0.00695713
12:19.4,1.42E+12,0,-0.003197924,0.004263188,0.005329305,0.000447432,-0.001854817,-0.002600992,0.00688793
12:19.4,1.42E+12,0.002131594,-0.009593239,0.001065797,0.009884829,0.000426116,-0.002025355,-0.00255835,0.007014923
12:19.4,1.42E+12,0.001065797,-0.007461112,0.003197391,0.008187028,0.000383484,-0.002281157,-0.002409128,0.007027931
12:19.5,1.42E+12,0,-0.005329518,0.002131594,0.005739987,0.000276905,-0.002302473,-0.002302537,0.006991994
12:19.5,1.42E+12,0.001065797,-0.003197924,0.001065797,0.003535331,0.000234273,-0.002281157,-0.002259895,0.006953999
12:19.5,1.42E+12,0.001065797,-0.002132127,-0.00106633,0.002611312,0.000255589,-0.002345116,-0.002259895,0.006976073
12:19.5,1.42E+12,0.001065797,-0.004263721,-0.002132127,0.004884793,0.000255589,-0.002451706,-0.002281211,0.007036842
12:19.5,1.42E+12,-0.00106633,-0.005329518,-0.002132127,0.005838389,0.000255589,-0.002664876,-0.002281211,0.007036852
12:19.5,1.42E+12,-0.004263721,-0.002132127,-0.003197924,0.005740383,0.000234273,-0.002792783,-0.002323843,0.007042961
12:19.6,1.42E+12,-0.002132127,-0.00106633,-0.004263721,0.00488491,0.000212957,-0.002878057,-0.002345158,0.007047735
12:19.6,1.42E+12,-0.00106633,0.002131594,-0.002132127,0.003197924,0.000234273,-0.002878057,-0.002302527,0.007007254
12:19.6,1.42E+12,-0.002132127,-0.00106633,0,0.00238391,0.000319537,-0.002899384,-0.002195936,0.006888435
12:19.6,1.42E+12,-0.003197924,0,0.001065797,0.003370852,0.000362168,-0.002856741,-0.002046714,0.00678398
12:19.6,1.42E+12,-0.003197924,0.003197391,-0.00106633,0.004646191,0.00029821,-0.002664887,-0.001982766,0.006723178
12:19.7,1.42E+12,-0.00106633,0.004263188,-0.00106633,0.004522045,0.000212936,-0.002494349,-0.00196145,0.006698817
12:19.7,1.42E+12,-0.002132127,0.001065797,0,0.002383671,0.00019162,-0.002366442,-0.002004082,0.006629726
12:19.7,1.42E+12,0.001065797,0.002131594,-0.002132127,0.003197746,0.000255578,-0.002131946,-0.002131988,0.006479437
12:19.7,1.42E+12,-0.00106633,0.004263188,-0.00106633,0.004522045,0.00029821,-0.001748237,-0.002281211,0.006238945
12:19.8,1.42E+12,-0.003197924,0.003197391,0,0.004522171,0.00029821,-0.001385845,-0.00238779,0.006006094
12:19.8,1.42E+12,-0.003197924,0.001065797,0.002131594,0.003988275,0.000255578,-0.001193991,-0.002409106,0.005902482
12:19.8,1.42E+12,-0.00106633,0.006394783,0,0.006483079,0.000170304,-0.000980821,-0.00238778,0.005923442
12:19.8,1.42E+12,0,0.00959244,-0.005329518,0.010973544,8.50399E-05,-0.00074633,-0.002409096,0.006015007
12:19.8,1.42E+12,0,0.005328985,-0.007461112,0.009168766,2.10921E-05,-0.000597107,-0.002451728,0.00606697
12:19.8,1.42E+12,-0.00106633,0.002131594,-0.006395315,0.006825013,-4.28664E-05,-0.000554476,-0.002515675,0.006126606
12:19.9,1.42E+12,-0.00106633,0.006394783,-0.007461112,0.009884255,-8.55089E-05,-0.00042658,-0.002600939,0.006256874
12:19.9,1.42E+12,0,0.00959244,-0.008526909,0.012834449,-0.000106825,-0.000234731,-0.002643571,0.006383892
12:19.9,1.42E+12,-0.002132127,0.007460579,-0.006395315,0.010055161,-0.000149467,-0.000213415,-0.002643571,0.006404116
12:19.9,1.42E+12,-0.004263721,0.003197391,-0.004263721,0.006825097,-0.000213415,-0.000256047,-0.002664887,0.006414504
12:19.9,1.42E+12,-0.004263721,0.001065797,-0.004263721,0.00612328,-0.000256047,-0.000319995,-0.002686203,0.00642217
12:20.0,1.42E+12,-0.002132127,0.003197391,-0.003197924,0.004999599,-0.000320006,-0.000298679,-0.002622255,0.006385664
12:20.0,1.42E+12,-0.003197924,0.00959244,0,0.01011146,-0.000447912,-0.000234726,-0.002473033,0.006381219
12:20.0,1.42E+12,-0.004263721,0.00959244,-0.002132127,0.010711685,-0.000554502,-0.000170773,-0.002323811,0.006363885
12:20.0,1.42E+12,-0.00106633,0.003197391,-0.005329518,0.006305881,-0.000639777,-8.54982E-05,-0.00221722,0.006266418
12:20.0,1.42E+12,-0.00106633,0,-0.006395315,0.006483603,-0.000746367,6.3724E-05,-0.002195904,0.006168484
12:20.1,1.42E+12,0,0.001065797,-0.005329518,0.005435042,-0.000831631,0.00019163,-0.002174588,0.006090125
12:20.1,1.42E+12,0,0.003197391,-0.004263721,0.005329411,-0.000916895,0.000255578,-0.002174588,0.006076124
