time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
12:18.4,1.42E+12,10.8,13.1,11.4,22.7,7.9,22.4,14.7,23.7,-1.469,-1.405,-1.337
12:18.4,1.42E+12,23.3,19.8,11.4,21.2,7.9,22.4,3.2,25.3,-1.469,-1.41,-1.351
12:18.4,1.42E+12,10.8,13.1,13.1,27.3,4.7,20.9,16.4,25.3,-1.469,-1.376,-1.351
12:18.5,1.42E+12,12.3,19.8,11.4,28.9,7.9,22.4,16.4,23.7,-1.469,-1.415,-1.351
12:18.5,1.42E+12,12.3,6.5,16.4,19.6,15.8,22.4,14.7,18.9,-1.483,-1.395,-1.337
12:18.5,1.42E+12,6.1,13.1,11.4,19.6,0,19.4,14.7,33.4,-1.459,-1.41,-1.347
12:18.6,1.42E+12,10.8,6.5,11.4,16.6,21.8,1.5,16.4,23.7,-1.474,-1.4,-1.342
12:18.6,1.42E+12,6.1,13.1,13.1,24.2,20.2,22.4,16.4,23.7,-1.469,-1.405,-1.347
12:18.6,1.42E+12,10.8,13.1,11.4,18.1,21.8,22.4,9.8,25.3,-1.444,-1.42,-1.347
12:18.6,1.42E+12,10.8,11.5,9.8,19.6,23.3,22.4,21.3,25.3,-1.469,-1.386,-1.347
12:18.6,1.42E+12,12.3,19.8,11.4,28.9,21.8,22.4,14.7,18.9,-1.454,-1.405,-1.371
12:18.7,1.42E+12,21.8,9.8,13.1,19.6,23.3,22.4,14.7,18.9,-1.488,-1.4,-1.366
12:18.7,1.42E+12,10.8,11.5,11.4,18.1,15.5,23.9,16.4,33.4,-1.444,-1.41,-1.351
12:18.8,1.42E+12,10.8,11.5,11.4,16.6,21.8,22.4,0,23.7,-1.483,-1.4,-1.342
12:18.9,1.42E+12,6.1,13.1,16.4,24.2,20.2,22.4,27.7,25.3,-1.405,-1.42,-1.347
12:18.9,1.42E+12,12.3,11.5,11.4,19.6,21.8,28.5,21.1,18.9,-1.498,-1.41,-1.347
12:18.9,1.42E+12,3.1,11.5,9.8,18.1,20.2,22.4,26,22.1,-1.469,-1.42,-1.342
12:18.9,1.42E+12,10.8,0,11.4,19.6,26.5,30.1,24.4,25.3,-1.469,-1.469,-1.351
12:18.9,1.42E+12,3.1,0,9.8,19.6,21.8,22.4,32.7,23.7,-1.469,-1.405,-1.356
12:18.9,1.42E+12,10.8,9.8,6.5,24.2,20.2,20.9,24.4,14.1,-1.469,-1.386,-1.371
12:19.0,1.42E+12,10.8,9.8,9.8,18.1,20.2,19.4,22.7,23.7,-1.478,-1.405,-1.332
12:19.0,1.42E+12,9.2,11.5,4.9,19.6,23.3,34.7,22.7,33.4,-1.474,-1.41,-1.347
12:19.0,1.42E+12,9.2,11.5,9.8,16.6,20.2,28.5,22.7,23.7,-1.474,-1.405,-1.337
12:19.1,1.42E+12,7.7,11.5,9.8,19.6,24.9,22.4,27.7,25.3,-1.449,-1.415,-1.347
12:19.1,1.42E+12,20.2,14.8,6.5,15,20.2,22.4,24.4,26.9,-1.488,-1.43,-1.351
12:19.1,1.42E+12,7.7,6.5,9.8,16.6,21.8,20.9,21.1,25.3,-1.474,-1.4,-1.347
12:19.1,1.42E+12,10.8,11.5,8.1,18.1,10.8,31.6,24.4,31.8,-1.478,-1.405,-1.347
12:19.2,1.42E+12,10.8,11.5,6.5,12,21.8,22.4,19.4,23.7,-1.488,-1.405,-1.347
12:19.2,1.42E+12,9.2,11.5,14.7,18.1,21.8,23.9,24.4,25.3,-1.483,-1.41,-1.356
12:19.2,1.42E+12,7.7,6.5,11.4,16.6,21.8,33.2,21.1,23.7,-1.503,-1.41,-1.347
12:19.2,1.42E+12,9.2,11.5,9.8,18.1,10.8,16.4,32.7,25.3,-1.449,-1.381,-1.351
12:19.3,1.42E+12,17,11.5,3.2,13.5,21.8,22.4,24.4,22.1,-1.469,-1.444,-1.347
12:19.3,1.42E+12,10.8,11.5,9.8,19.6,23.3,22.4,22.7,23.7,-1.469,-1.405,-1.342
12:19.3,1.42E+12,17,13.1,13.1,21.2,18.6,28.5,24.4,15.7,-1.469,-1.395,-1.337
12:19.4,1.42E+12,9.2,19.8,11.4,19.6,20.2,23.9,22.7,23.7,-1.469,-1.4,-1.322
12:19.4,1.42E+12,9.2,11.5,0,18.1,20.2,36.3,21.1,33.4,-1.474,-1.41,-1.347
12:19.4,1.42E+12,1.5,13.1,24.3,15,21.8,22.4,21.1,18.9,-1.498,-1.41,-1.347
12:19.4,1.42E+12,10.8,11.5,24.3,25.8,21.8,17.9,36.1,25.3,-1.449,-1.371,-1.351
12:19.4,1.42E+12,15.5,9.8,19.3,9,21.8,22.4,32.7,26.9,-1.474,-1.444,-1.322
12:19.5,1.42E+12,10.8,14.8,24.3,21.2,34.5,17.9,27.7,23.7,-1.469,-1.41,-1.356
12:19.6,1.42E+12,9.2,11.5,24.3,19.6,18.6,25.5,24.4,18.9,-1.469,-1.4,-1.337
12:19.6,1.42E+12,9.2,19.8,24.3,19.6,20.2,19.4,24.4,20.5,-1.469,-1.4,-1.317
12:19.6,1.42E+12,9.2,14.8,9.6,21.2,20.2,22.4,22.7,23.7,-1.474,-1.415,-1.347
12:19.6,1.42E+12,9.2,13.1,22.6,15,21.8,25.5,32.7,23.7,-1.469,-1.405,-1.347
12:19.6,1.42E+12,12.3,11.5,24.3,19.6,21.8,13.4,36.1,23.7,-1.464,-1.464,-1.371
12:19.6,1.42E+12,10.8,14.8,22.6,18.1,21.8,20.9,24.4,17.3,-1.488,-1.459,-1.303
12:19.7,1.42E+12,10.8,14.8,24.3,19.6,6.1,23.9,27.7,23.7,-1.469,-1.41,-1.342
12:19.7,1.42E+12,9.2,11.5,22.6,18.1,20.2,23.9,22.7,22.1,-1.474,-1.41,-1.347
12:19.7,1.42E+12,10.8,9.8,22.6,18.1,21.8,22.4,34.4,23.7,-1.469,-1.405,-1.347
12:19.7,1.42E+12,10.8,11.5,24.3,19.6,21.8,13.4,21.1,25.3,-1.464,-1.474,-1.342
12:19.7,1.42E+12,9.2,9.8,24.3,18.1,21.8,17.9,19.4,28.5,-1.464,-1.41,-1.347
12:19.8,1.42E+12,20.2,9.8,22.6,18.1,20.2,19.4,21.1,23.7,-1.464,-1.449,-1.356
12:19.8,1.42E+12,9.2,14.8,22.6,21.2,20.2,20.9,41.1,25.3,-1.483,-1.41,-1.312
12:19.8,1.42E+12,9.2,11.5,24.3,25.8,29.7,14.9,24.4,22.1,-1.469,-1.415,-1.342
12:19.9,1.42E+12,9.2,11.5,22.6,19.6,26.5,22.4,22.7,17.3,-1.508,-1.425,-1.327
12:19.9,1.42E+12,9.2,11.5,24.3,19.6,21.8,30.1,24.4,17.3,-1.469,-1.4,-1.342
12:19.9,1.42E+12,15.5,11.5,16.1,18.1,21.8,20.9,22.7,23.7,-1.483,-1.405,-1.347
12:20.0,1.42E+12,0,14.8,24.3,15,21.8,23.9,21.1,28.5,-1.459,-1.41,-1.351
12:20.0,1.42E+12,9.2,9.8,24.3,18.1,23.3,22.4,21.1,23.7,-1.439,-1.386,-1.356
12:20.0,1.42E+12,17,3.3,25.9,18.1,21.8,22.4,34.4,26.9,-1.483,-1.449,-1.327
12:20.0,1.42E+12,9.2,24.9,24.3,28.9,23.3,16.4,22.7,23.7,-1.469,-1.415,-1.395
12:20.1,1.42E+12,9.2,11.5,22.6,18.1,26.5,22.4,22.7,20.5,-1.498,-1.43,-1.327
12:20.1,1.42E+12,4.6,14.8,22.6,19.6,20.2,22.4,22.7,18.9,-1.464,-1.4,-1.356
12:20.1,1.42E+12,12.3,11.5,27.6,12,15.5,19.4,22.7,23.7,-1.469,-1.42,-1.327
12:20.1,1.42E+12,9.2,9.8,24.3,18.1,21.8,30.1,22.7,23.7,-1.474,-1.41,-1.351
12:20.1,1.42E+12,4.6,8.2,22.6,0,23.3,20.9,21.1,25.3,-1.435,-1.405,-1.366
12:20.2,1.42E+12,4.6,4.9,27.6,24.1,21.8,22.4,22.7,25.3,-1.449,-1.415,-1.327
12:20.2,1.42E+12,9.2,9.8,24.3,21.1,15.5,22.4,27.7,26.9,-1.469,-1.41,-1.342
12:20.2,1.42E+12,9.2,9.8,24.3,15,15.5,23.9,24.4,20.5,-1.488,-1.43,-1.327
12:20.3,1.42E+12,9.2,11.5,27.6,30.3,21.8,23.9,24.4,18.9,-1.449,-1.4,-1.332
12:20.3,1.42E+12,9.2,9.8,24.3,22.6,21.8,16.4,19.4,25.3,-1.469,-1.508,-1.347
12:20.3,1.42E+12,20.2,13.1,17.7,22.6,21.8,25.5,27.7,23.7,-1.435,-1.41,-1.351
12:20.4,1.42E+12,4.6,8.2,24.3,22.6,0,20.9,21.1,25.3,-1.444,-1.405,-1.347
12:20.4,1.42E+12,4.6,6.5,27.6,24.1,23.2,22.4,22.7,23.7,-1.478,-1.376,-1.337
12:20.4,1.42E+12,13.9,21.5,24.3,22.6,23.2,20.9,24.4,25.3,-1.469,-1.405,-1.317
12:20.4,1.42E+12,9.2,18.1,25.9,18,23.2,22.4,26,38.3,-1.474,-1.371,-1.351
12:20.5,1.42E+12,4.6,9.8,22.6,21.1,23.2,20.9,22.7,22.1,-1.439,-1.4,-1.386
12:20.5,1.42E+12,9.2,11.5,24.3,21.1,28,23.9,22.7,25.3,-1.469,-1.41,-1.347
12:20.5,1.42E+12,10.8,11.5,19.3,24.1,24.8,8.9,24.4,23.7,-1.469,-1.405,-1.347
12:20.5,1.42E+12,9.2,9.8,24.3,21.1,24.8,20.9,19.4,25.3,-1.444,-1.405,-1.366
12:20.6,1.42E+12,4.6,9.8,24.3,30.3,23.2,30.1,22.7,25.3,-1.474,-1.386,-1.337
12:20.6,1.42E+12,7.7,8.2,22.6,30.3,24.8,20.9,22.7,23.7,-1.474,-1.405,-1.347
12:20.6,1.42E+12,9.2,9.8,22.6,21.1,28,22.4,26,36.7,-1.483,-1.376,-1.347
12:20.6,1.42E+12,3.1,6.5,22.6,21.1,24.8,22.4,31,14.1,-1.454,-1.4,-1.356
12:20.7,1.42E+12,9.2,9.8,29.2,21.1,24.8,20.9,22.7,25.3,-1.474,-1.405,-1.347
12:20.7,1.42E+12,9.2,11.5,19.3,27.2,26.4,33.2,21.1,20.5,-1.444,-1.405,-1.347
12:20.7,1.42E+12,9.2,8.2,24.3,22.6,23.2,19.4,19.4,25.3,-1.449,-1.391,-1.347
12:20.7,1.42E+12,17,8.2,24.3,22.6,23.2,23.9,14.5,26.9,-1.464,-1.391,-1.342
12:20.8,1.42E+12,9.2,8.2,24.3,21.1,24.8,19.4,22.7,25.3,-1.474,-1.405,-1.347
12:20.8,1.42E+12,7.7,9.8,22.6,19.5,26.4,22.4,22.7,14.1,-1.464,-1.415,-1.371
12:20.8,1.42E+12,9.2,9.8,22.6,22.6,24.8,20.9,22.7,28.5,-1.459,-1.41,-1.322
12:20.9,1.42E+12,9.2,9.8,17.7,22.6,23.2,20.9,21.1,25.3,-1.454,-1.459,-1.351
12:20.9,1.42E+12,9.2,9.8,21,27.2,23.2,10.4,22.7,22.1,-1.469,-1.41,-1.347
12:20.9,1.42E+12,7.7,9.8,22.6,21.1,24.8,17.9,19.4,25.3,-1.503,-1.439,-1.371
12:20.9,1.42E+12,0,11.5,24.3,22.6,23.2,22.4,27.7,23.7,-1.474,-1.361,-1.347
12:21.0,1.42E+12,7.7,8.2,22.6,25.7,17,22.4,19.4,23.7,-1.469,-1.405,-1.347
12:21.0,1.42E+12,9.2,9.8,22.6,21.1,23.2,20.9,27.7,26.9,-1.483,-1.386,-1.351
12:21.0,1.42E+12,3.1,0,22.6,21.1,23.2,19.4,22.7,12.5,-1.474,-1.4,-1.395
12:21.1,1.42E+12,9.2,9.8,22.6,27.2,21.7,25.5,26,25.3,-1.469,-1.4,-1.386
12:21.1,1.42E+12,10.8,9.8,22.6,25.7,23.2,22.4,21.1,23.7,-1.478,-1.405,-1.337
12:21.1,1.42E+12,0,9.8,22.6,30.3,24.8,17.9,19.4,23.7,-1.444,-1.381,-1.351
12:21.1,1.42E+12,12.3,9.8,22.6,19.5,20.1,22.4,22.7,0,-1.474,-1.405,-1.342
12:21.2,1.42E+12,12.3,8.2,22.6,30.3,36,20.9,26,23.7,-1.474,-1.405,-1.351
12:21.2,1.42E+12,12.3,8.2,22.6,22.6,24.8,20.9,22.7,18.9,-1.469,-1.391,-1.386
12:21.2,1.42E+12,9.2,4.9,22.6,21.1,23.2,20.9,24.4,30.1,-1.464,-1.405,-1.332
12:21.3,1.42E+12,12.3,18.1,30.9,19.5,26.4,20.9,22.7,25.3,-1.469,-1.435,-1.351
12:21.3,1.42E+12,10.7,9.8,21,22.6,23.2,19.4,22.7,25.3,-1.474,-1.41,-1.342
12:21.3,1.42E+12,10.7,9.8,22.6,21.1,23.2,13.4,22.7,25.3,-1.483,-1.439,-1.351
12:21.3,1.42E+12,0,9.8,21,22.6,21.7,20.9,22.7,23.7,-1.474,-1.41,-1.337
12:21.4,1.42E+12,10.7,6.5,22.6,19.5,18.5,27,24.4,23.7,-1.469,-1.381,-1.342
12:21.4,1.42E+12,12.3,9.8,22.6,21.1,20.1,22.4,32.7,23.7,-1.488,-1.405,-1.351
12:21.4,1.42E+12,10.7,6.5,22.6,21.1,23.2,20.9,22.7,28.5,-1.459,-1.405,-1.381
12:21.4,1.42E+12,12.3,14.8,30.9,19.5,26.4,19.4,22.7,25.3,-1.488,-1.376,-1.347
12:21.5,1.42E+12,9.2,11.5,25.9,22.6,23.2,22.4,22.7,35,-1.474,-1.41,-1.347
12:21.5,1.42E+12,10.7,9.8,21,22.6,23.2,13.4,24.4,25.3,-1.522,-1.42,-1.337
12:21.5,1.42E+12,0,6.5,22.6,21.1,15.4,16.4,21.1,23.7,-1.469,-1.415,-1.337
12:21.5,1.42E+12,0,6.5,22.6,28.7,23.2,22.4,22.7,25.3,-1.459,-1.405,-1.342
12:21.5,1.42E+12,24.3,0,24.3,21.1,20.1,20.9,22.7,25.3,-1.469,-1.405,-1.317
12:21.6,1.42E+12,24.3,21.1,24.3,21.1,23.2,22.4,22.7,26.9,-1.464,-1.405,-1.337
12:21.6,1.42E+12,22.8,34.4,24.3,15,18.5,20.9,22.7,25.3,-1.474,-1.41,-1.366
12:21.7,1.42E+12,22.8,21.1,29.2,22.6,21.7,11.9,19.4,22.1,-1.508,-1.41,-1.347
12:21.7,1.42E+12,22.8,22.7,22.6,21.1,21.7,16.4,29.4,23.7,-1.518,-1.415,-1.327
12:21.7,1.42E+12,25.9,21.1,22.6,18,12.3,20.9,16.2,14.1,-1.478,-1.405,-1.342
12:21.7,1.42E+12,19.7,24.4,24.3,19.5,23.2,23.9,22.7,23.7,-1.469,-1.386,-1.337
12:21.7,1.42E+12,22.8,22.7,3.2,21.1,13.8,20.9,22.7,26.9,-1.469,-1.41,-1.317
