time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
31:46.0,1.42E+12,0.6288512,-0.44126236,1.2491757,1.466494539,0,0,0,0
31:46.0,1.42E+12,-0.21743378,-0.17479977,2.8383582,2.852036059,0,0,0,0
31:46.0,1.42E+12,1.0349398,-2.1391613,2.6656907,3.571136845,0,0,0,0
31:46.0,1.42E+12,4.5810227,-5.03401,1.689372,7.012916898,0,0,0,0
31:46.0,1.42E+12,3.8594425,-0.29310885,0.59367824,3.915822144,0,0,0,0
31:46.1,1.42E+12,2.520735,1.097825,-0.2259607,2.758692246,0,0,0,0
31:46.1,1.42E+12,3.0152893,1.0242816,-0.43593284,3.214212158,0,0,0,0
31:46.1,1.42E+12,2.0528266,0.13003337,-0.054358847,2.057659012,0,0,0,0
31:46.1,1.42E+12,0.46044698,-0.5851519,0.07993824,0.748868673,0,0,0,0
31:46.1,1.42E+12,-0.24940903,-0.9496729,0.38050818,1.053028944,0,0,0,0
31:46.3,1.42E+12,-0.9773849,-0.16520707,0.35173035,1.051802671,0,0,0,0
31:46.3,1.42E+12,-2.303302,0.54464895,-0.48602796,2.416208964,0,0,0,0
31:46.3,1.42E+12,-2.430138,-0.142824,-1.0189531,2.638983671,0,0,0,0
31:46.3,1.42E+12,-2.4290724,-0.20890687,-0.85481185,2.583551452,0,0,0,0
31:46.3,1.42E+12,-3.0909653,-1.330181,-0.6363128,3.424666693,0,0,0,0
31:46.3,1.42E+12,-3.525832,-2.949207,-0.7311733,4.654452451,0,0,0,0
31:46.3,1.42E+12,-3.3670204,-2.850083,-1.4452927,4.642054553,0,0,0,0
31:46.3,1.42E+12,-2.4365332,1.5369552,-0.65869564,2.955132022,0,0,0,0
31:46.3,1.42E+12,-0.76741225,4.865605,-0.79938775,4.990195823,0,0,0,0
31:46.3,1.42E+12,-1.508178,2.895914,-1.6584628,3.662160241,0,0,0,0
31:46.4,1.42E+12,-1.5529436,-0.7972562,-1.9824811,2.641492492,0,0,0,0
31:46.4,1.42E+12,-0.33361152,-0.82283664,-1.1798965,1.476655861,0,0,0,0
31:46.4,1.42E+12,0.11724327,-1.6478046,-0.49242327,1.723800064,0,0,0,0
31:46.4,1.42E+12,0.58301973,-1.7149527,0.11084822,1.814734718,0,0,0,0
31:46.4,1.42E+12,1.0658498,-1.7991552,0.6565632,2.191818986,0,0,0,0
31:46.5,1.42E+12,1.8396566,-0.9390144,0.8665356,2.239859012,0,0,0,0
31:46.5,1.42E+12,2.214836,0.67468286,0.95606685,2.504946964,0,0,0,0
31:46.5,1.42E+12,2.5857518,2.3160918,0.40502286,3.494915895,0,0,0,0
31:46.5,1.42E+12,0.14602113,5.157648,-0.8249682,5.225249046,0,0,0,0
31:46.5,1.42E+12,-0.7482268,6.55924,-0.3751792,6.612430125,0,0,0,0
31:46.6,1.42E+12,0.08313616,3.6260211,0.94754046,3.748702917,0,0,0,0
31:46.6,1.42E+12,-0.15561436,-0.19078752,0.884655,0.918275654,0,0,0,0
31:46.6,1.42E+12,1.6648573,-1.9696913,1.312061,2.893602895,0,0,0,0
31:46.6,1.42E+12,-0.33574313,-0.05968783,1.0551913,1.10892505,0,0,0,0
31:46.6,1.42E+12,-0.62245667,0.509476,2.0133903,2.16812329,0,0,0,0
31:46.7,1.42E+12,1.3834728,-2.1647418,1.5849185,3.018620662,0,0,0,0
31:46.7,1.42E+12,4.603406,-4.50748,0.8590748,6.499748631,0,0,0,0
31:46.7,1.42E+12,4.7046614,-0.42101115,0.6491024,4.767853102,0,0,0,0
31:46.7,1.42E+12,3.5940459,4.7462296,-0.094861,5.954230425,0,0,0,0
31:46.7,1.42E+12,2.059222,0.4146153,-0.63737863,2.195120181,0,0,0,0
31:46.8,1.42E+12,0.7993872,-1.0221505,0.060753096,1.29903906,0,0,0,0
31:46.8,1.42E+12,-0.008526909,0.07993824,0.32934728,0.339016904,0,0,0,0
31:46.8,1.42E+12,-0.57342786,-0.7269101,0.73969936,1.185062423,0,0,0,0
31:46.9,1.42E+12,-1.7661136,0.5947441,0.041567683,1.864029416,0,0,0,0
31:46.9,1.42E+12,-2.6006746,0.16946973,-0.7791368,2.720162223,0,0,0,0
31:46.9,1.42E+12,-2.81491,-1.2715596,-1.0189531,3.252514034,0,0,0,0
31:46.9,1.42E+12,-2.9833143,-1.9078718,-0.6970659,3.609160552,0,0,0,0
31:46.9,1.42E+12,-3.505581,-2.571896,-0.34959927,4.361876526,0,0,0,0
31:46.9,1.42E+12,-3.3894033,-2.7605515,-0.66189325,4.421176539,0,0,0,0
31:46.9,1.42E+12,-3.7336729,-0.89638036,-1.3472346,4.069256952,-0.056575613,-0.170237907,0.077486968,3.039809533
31:47.0,1.42E+12,-2.6273203,3.259369,-0.5531764,4.222831084,-0.121699043,-0.09622528,0.041439926,3.094936264
31:47.0,1.42E+12,-0.48069844,4.709991,-0.6544324,4.779473609,-0.126964336,0.001470535,-0.028415886,3.133485015
31:47.0,1.42E+12,-1.6712532,1.362156,-2.1817954,3.067374675,-0.181088196,0.071496881,-0.125365608,3.123409772
31:47.0,1.42E+12,-1.7458627,-1.8513819,-1.9878106,3.229093137,-0.307625904,0.135149443,-0.19890926,3.047733296
31:47.0,1.42E+12,-0.7482268,-1.9537033,-1.0093602,2.322844795,-0.39977929,0.101937554,-0.230970029,3.015873749
31:47.1,1.42E+12,-0.15561436,-2.226561,-0.3986281,2.267309877,-0.453306277,0.035449834,-0.234423377,3.006046102
31:47.1,1.42E+12,0.58621716,-2.3384752,0.07887244,2.412123065,-0.50188772,-0.031805302,-0.224127271,2.99000432
31:47.1,1.42E+12,1.3898681,-1.6552655,0.45298585,2.208355359,-0.51514689,-0.067511279,-0.213980377,2.993018247
31:47.1,1.42E+12,2.321421,0.21743326,0.86227244,2.485917626,-0.47792741,-0.051459576,-0.198333693,3.027759226
31:47.2,1.42E+12,2.96626,1.6339476,1.3056661,3.629496812,-0.413614029,0.000212834,-0.179830535,3.079288584
31:47.2,1.42E+12,3.067516,2.2894456,0.8985111,3.931734701,-0.332716011,0.049305887,-0.16889492,3.136887224
