time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
31:47.4,1.42E+12,75.2,80.1,69.3,84.1,45.6,59.8,119.8,102.3,0.403,0.545,0.027
31:47.4,1.42E+12,75.2,32.9,66.1,99,73.5,82.2,143.6,76,0.486,0.535,-0.814
31:47.5,1.42E+12,73.5,62.2,70.9,79.2,64.6,91,106.6,109.1,0.731,0.54,-1.097
31:47.5,1.42E+12,73.5,60.5,67.7,84.1,67.5,68.3,101.7,152.9,1.459,0.545,-0.941
31:47.5,1.42E+12,73.5,60.5,48.5,61.6,67.5,78.7,175.4,102.3,2.5,0.956,-0.926
31:47.6,1.42E+12,76.9,80.1,69.3,82.5,51.4,41.4,101.7,105.7,2.5,0.604,0.227
31:47.6,1.42E+12,173.5,119.1,85.8,97.3,90.2,71.7,133.3,104,1.127,0.535,-0.868
31:47.6,1.42E+12,406.2,210.6,107.8,72.8,76.5,103.5,90.5,135,-0.726,0.545,1.962
31:47.6,1.42E+12,235.8,193.5,118.2,156.5,91.8,129.2,136.7,213.2,0.32,0.545,0.139
31:47.6,1.42E+12,193.7,178.8,102.6,126.3,102.7,197.8,161,227.1,0.907,0.96,-0.002
31:47.7,1.42E+12,138.6,174.7,132.3,152.9,160.1,199.9,190,272.6,0.296,0.54,-0.022
31:47.7,1.42E+12,107.1,81.9,116.4,145.7,90.2,227.2,175.4,402,0.31,0.54,-0.325
31:47.8,1.42E+12,99.9,89.2,106.1,95.7,90.2,248.9,175.4,413.7,0.301,0.555,-0.418
31:47.8,1.42E+12,105.3,81.9,95.8,100.7,82.6,167.6,148.8,398.1,0.369,0.584,-0.349
31:47.9,1.42E+12,105.3,67.5,127,95.7,76.5,163.7,131.6,437.4,0.604,0.951,0.027
31:47.9,1.42E+12,83.9,124.9,95.8,95.7,55.8,171.6,124.8,231.2,0.345,0.364,-0.457
31:47.9,1.42E+12,80.4,71.1,80.8,92.3,51.4,129.2,121.5,180.5,0.379,1.024,-0.105
31:47.9,1.42E+12,83.9,72.9,80.8,72.8,64.6,112.5,119.8,154.7,0.354,0.54,-1.004
31:47.9,1.42E+12,82.2,80.1,75.8,89,70.5,78.7,98.5,138.5,0.995,0.628,-1.131
31:48.0,1.42E+12,76.9,67.5,99.2,89,69,94.5,108.3,126.3,0.374,0.936,-0.667
31:48.0,1.42E+12,78.7,65.8,54.8,87.4,69,85.7,108.3,122.8,0.672,0.633,0.066
31:48.0,1.42E+12,91,53.5,70.9,87.4,49.9,87.4,105,119.3,0.78,1.053,0.687
31:48.0,1.42E+12,76.9,65.8,70.9,66.4,64.6,85.7,108.3,115.9,0.496,0.804,0.55
31:48.0,1.42E+12,64.9,39.7,70.9,85.8,52.8,82.2,85.7,114.2,0.799,0.941,0.012
31:48.1,1.42E+12,63.2,62.2,85.8,85.8,67.5,80.4,103.4,109.1,0.652,0.936,0.125
31:48.1,1.42E+12,75.2,62.2,48.5,84.1,67.5,78.7,103.4,109.1,0.794,0.98,-0.789
31:48.1,1.42E+12,76.9,26.2,48.5,84.1,98,85.7,76.3,114.2,0.535,0.54,-1.097
31:48.1,1.42E+12,73.5,60.5,70.9,72.8,58.7,76.9,138.4,121.1,1.21,0.667,-1.102
31:48.2,1.42E+12,71.7,53.5,70.9,85.8,87.2,71.7,82.6,105.7,2.466,0.701,-1.014
31:48.2,1.42E+12,54.7,64,74.2,84.1,66.1,136.7,133.3,105.7,2.344,0.936,0.066
31:48.2,1.42E+12,251.1,189.3,70.9,92.3,72,85.7,90.5,105.7,1.102,0.54,-1.122
31:48.3,1.42E+12,406.2,191.4,87.4,122.8,115.4,112.5,76.3,131.5,-1.019,0.54,1.723
31:48.3,1.42E+12,237.9,174.7,132.3,140.3,55.8,146.2,175.4,197.6,0.315,0.545,-0.022
31:48.3,1.42E+12,208.2,174.7,127,158.3,94.9,181.5,135,229.1,0.77,0.609,-0.13
31:48.3,1.42E+12,152,162.4,125.2,152.9,96.4,206.1,235.7,257.8,0.384,0.936,0.1
31:48.4,1.42E+12,107.1,124.9,113,140.3,128.3,216.6,173.5,283.4,0.125,0.354,-0.389
31:48.5,1.42E+12,112.5,81.9,80.8,115.9,141.5,216.6,173.5,274.8,0.271,1.058,-0.467
