time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
38:10.1,1.42E+12,2.682744,-0.5990083,0.33467653,2.76910359,0.253139026,0.00313324,0.142461198,3.076428442
38:10.1,1.42E+12,2.9705236,-0.32615042,-0.12577072,2.991020366,0.247191584,-0.011511541,0.124235163,3.068540329
38:10.1,1.42E+12,2.1061192,-0.54038626,0.023448335,2.174466652,0.23143832,-0.056106707,0.116966064,3.044568122
38:10.1,1.42E+12,0.6725512,-0.84521943,0.060753096,1.081855785,0.249216704,-0.154314115,0.13235694,2.983562265
38:10.2,1.42E+12,-0.17373398,-0.49029115,0.28671354,0.59394744,0.256571065,-0.26273237,0.167721845,2.89190545
38:10.2,1.42E+12,-0.71198815,-0.39969388,0.31016186,0.873431567,0.238217123,-0.323805568,0.186608701,2.854645526
38:10.2,1.42E+12,-1.53589,0.39223224,-0.08953201,1.587709105,0.251433663,-0.350409189,0.180362816,2.830392936
38:10.2,1.42E+12,-2.2372193,0.52333194,-0.87506306,2.458609744,0.219777925,-0.351965332,0.149154734,2.857121046
38:10.3,1.42E+12,-2.1061199,0.1801285,-1.0040312,2.340142295,0.167487327,-0.331522322,0.101703088,2.870216837
38:10.3,1.42E+12,-2.3938992,-0.74502945,-0.6501687,2.590085249,0.121229445,-0.340944437,0.041098858,2.874076078
38:10.3,1.42E+12,-2.9406805,-1.673385,-0.763149,3.468460113,0.034682421,-0.281107617,-0.01869533,2.83640368
38:10.3,1.42E+12,-3.0856361,-2.4237432,-1.5252315,4.209752056,-0.107779087,-0.190020075,-0.07495089,2.757316321
38:10.3,1.42E+12,-2.2691948,0.37304708,-1.2246621,2.605418666,-0.196926773,-0.176696957,-0.112319595,2.763431086
38:10.3,1.42E+12,-1.3365761,3.3830075,-0.30589947,3.650308193,-0.264586925,-0.10605242,-0.126239597,2.794664882
38:10.4,1.42E+12,0.27285737,6.6498375,-0.5680983,6.67963514,-0.321993597,0.042548382,-0.140500669,2.863421244
38:10.4,1.42E+12,0.18652327,2.4557178,-2.1285028,3.255129032,-0.376543812,0.098207062,-0.184435004,2.869860999
38:10.4,1.42E+12,-0.4934891,-1.1777643,-2.2436147,2.58156293,-0.405961276,0.076378458,-0.235617126,2.90087898
38:10.4,1.42E+12,-0.90703857,-1.4847294,-0.9560676,1.985246991,-0.419220446,0.05685208,-0.260707234,2.927822706
38:10.4,1.42E+12,-0.8793265,-1.8300647,-0.2717921,2.048468415,-0.419518885,0.025814534,-0.273689292,2.949125382
38:10.5,1.42E+12,-0.55850565,-2.5580404,-0.05222672,2.618821659,-0.391614932,-0.044297083,-0.27577835,2.958062124
38:10.5,1.42E+12,-0.04263428,-2.5633695,0.19611599,2.57121418,-0.337213946,-0.113598644,-0.254035015,2.948693413
38:10.5,1.42E+12,1.1660395,-1.46661,0.35599354,1.907177078,-0.259598752,-0.137750809,-0.22628028,2.928523039
38:10.5,1.42E+12,2.8841896,-0.5180032,0.47856632,2.969158582,-0.15045572,-0.139861183,-0.204174546,2.934303766
38:10.6,1.42E+12,3.5897825,0.678946,0.7162511,3.72297216,-0.017053934,-0.097397723,-0.178849944,2.939838443
38:10.6,1.42E+12,2.94068,2.3875036,0.5521098,3.827871149,0.10560409,-0.016734197,-0.148707711,2.942070787
38:10.6,1.42E+12,-1.6371461,5.5562754,-1.6829774,6.031986124,0.136876128,0.120547277,-0.150604923,2.986612575
38:10.6,1.42E+12,-0.49775228,4.3422723,-1.8321965,4.739201417,0.164588227,0.158832603,-0.164908633,3.016005591
38:10.6,1.42E+12,-0.95500183,0.2248941,-0.43699864,1.074045466,0.136172665,0.035257957,-0.157575588,2.908073621
38:10.7,1.42E+12,-2.6411767,1.6446064,0.14495532,3.11473219,0.088465219,0.008014835,-0.108631762,2.894456877
38:10.7,1.42E+12,-0.9720554,2.7680118,0.5990075,2.994259677,0.096800167,0.089658943,-0.050201864,2.894176214
38:10.7,1.42E+12,1.0317425,-0.597942,1.0903645,1.615834758,0.142759617,0.125343603,-0.012151017,2.870144958
38:10.7,1.42E+12,1.196949,0.6618927,2.4162815,2.776545541,0.189870181,0.189614363,0.039095051,2.869552711
38:10.7,1.42E+12,1.6648573,-2.9545364,2.0922632,3.984796164,0.238067916,0.187802421,0.081601147,2.890059754
38:10.7,1.42E+12,3.5695312,-7.000503,2.0848024,8.12988292,0.308946941,0.104431637,0.117989269,2.995767665
38:10.8,1.42E+12,2.554842,-1.9643618,1.1713691,3.428999926,0.340730585,0.100125601,0.130459719,3.022914123
38:10.8,1.42E+12,2.305433,-0.046897735,0.16733813,2.311973781,0.340560049,0.101852272,0.119204343,3.020552296
38:10.8,1.42E+12,2.9939725,0.48496163,-0.44659135,3.065697791,0.337660939,0.093879721,0.088060208,3.012969037
38:10.8,1.42E+12,3.3563612,1.4516875,-0.4060892,3.679329496,0.340325569,0.091811973,0.061904253,3.012745326
38:10.8,1.42E+12,1.5827869,1.1266031,0.14921851,1.948516122,0.340709277,0.052418155,0.068128817,2.982266002
38:10.9,1.42E+12,-0.34959927,-1.0541258,0.27605477,1.144380657,0.345697458,-0.054593174,0.097674176,2.915128895
38:10.9,1.42E+12,-0.43699864,-0.017053818,0.48496163,0.653028657,0.335912961,-0.147258164,0.137664873,2.831017615
38:10.9,1.42E+12,-1.1617765,1.2598342,0.23128888,1.729277709,0.33064767,-0.133892413,0.140585295,2.844020568
38:11.0,1.42E+12,-1.9675593,0.9571332,-0.56916416,2.260827592,0.320181024,-0.144209833,0.125514178,2.847814742
