time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
38:09.0,1.42E+12,-2.3743625,-15.572866,2.590513,15.96441387,0,0,0,0
38:09.0,1.42E+12,0.7933502,-12.465628,1.2301419,12.55127623,0,0,0,0
38:09.0,1.42E+12,-1.0788066,-8.031848,1.7486637,8.290490378,0,0,0,0
38:09.0,1.42E+12,-2.3281088,-3.9489381,2.8113039,5.377511722,0,0,0,0
38:09.1,1.42E+12,-4.5662546,1.0563533,2.0728893,5.124786183,0,0,0,0
38:09.1,1.42E+12,-6.2863274,4.487219,0.42137375,7.735024394,0,0,0,0
38:09.1,1.42E+12,-5.968688,5.296137,0.87148774,8.027066366,0,0,0,0
38:09.1,1.42E+12,-3.7738023,2.49097,-0.4816983,4.547367216,0,0,0,0
38:09.1,1.42E+12,0.15447876,-3.822152,-7.483987,8.404925402,0,0,0,0
38:09.1,1.42E+12,2.940036,-16.040045,-16.445251,23.15973091,0,0,0,0
38:09.2,1.42E+12,2.7848089,-17.60968,-18.09542,25.40275999,0,0,0,0
38:09.2,1.42E+12,-1.3846207,-4.1737704,7.23251,8.464439422,0,0,0,0
38:09.2,1.42E+12,-7.8962297,-7.0542307,10.471325,14.89165073,0,0,0,0
38:09.2,1.42E+12,-12.223581,-11.130404,10.309062,19.48277662,0,0,0,0
38:09.2,1.42E+12,-9.24762,-3.8791833,6.7216225,12.07256177,0,0,0,0
38:09.3,1.42E+12,-10.384206,-10.135573,9.114098,17.13558743,0,0,0,0
38:09.3,1.42E+12,-9.862989,-15.930922,13.775404,23.25585051,0,0,0,0
38:09.3,1.42E+12,-6.384074,-19.084564,-2.6683512,20.30017443,0,0,0,0
38:09.4,1.42E+12,0.18381774,-16.679665,-10.530452,19.72651598,0,0,0,0
38:09.4,1.42E+12,0.65518755,-16.61485,1.1475137,16.66731229,0,0,0,0
38:09.4,1.42E+12,-0.17797989,-17.779726,-0.14175522,17.78118185,0,0,0,0
38:09.4,1.42E+12,-0.16375946,-15.703694,-9.783356,18.50261811,0,0,0,0
38:09.4,1.42E+12,0.062420197,-12.843592,-10.697354,16.71511694,0,0,0,0
38:09.4,1.42E+12,-1.0475217,-10.958712,-7.067104,13.0818435,0,0,0,0
38:09.4,1.42E+12,-0.6439609,-7.385342,-9.237291,11.8442183,0,0,0,0
38:09.5,1.42E+12,2.5577312,-4.890929,-9.705368,11.1650053,0,0,0,0
38:09.5,1.42E+12,3.3114138,-3.2796798,-1.179098,4.807497586,0,0,0,0
38:09.5,1.42E+12,0.35775605,-1.6197816,2.355801,2.881228935,0,0,0,0
38:09.5,1.42E+12,-0.47705796,0.09654923,0.65907943,0.819323957,0,0,0,0
38:09.5,1.42E+12,-0.7084767,-2.6946964,1.3395643,3.091562782,0,0,0,0
38:09.6,1.42E+12,-1.3073813,-13.0208235,-1.69268,13.1953119,0,0,0,0
38:09.6,1.42E+12,-6.3146186,-18.60122,-6.4426026,20.67333843,0,0,0,0
38:09.7,1.42E+12,-10.92563,-19.41777,-5.858068,23.03771133,0,0,0,0
38:09.7,1.42E+12,-8.498727,-19.539917,0.19070344,21.3089907,0,0,0,0
38:09.7,1.42E+12,-7.7927947,-18.984272,5.149891,21.15777895,0,0,0,0
38:09.7,1.42E+12,-1.0719209,-16.858543,3.2925532,17.21047335,0,0,0,0
38:09.7,1.42E+12,1.556613,-12.0459,1.2819343,12.21352146,0,0,0,0
38:09.7,1.42E+12,-0.8656499,-8.277786,1.5905924,8.473551498,0,0,0,0
38:09.7,1.42E+12,-3.035388,-4.687203,1.9984941,5.931056478,0,0,0,0
38:09.7,1.42E+12,-5.7119718,0.3131488,1.3736933,5.883172384,0,0,0,0
38:09.8,1.42E+12,-8.204887,4.3069935,-1.0648856,9.327611968,0,0,0,0
38:09.8,1.42E+12,-8.186326,5.940846,-0.52480865,10.12842578,0,0,0,0
38:09.8,1.42E+12,-5.64566,4.4170146,0.24519013,7.172420304,0,0,0,0
38:09.8,1.42E+12,-0.7485933,-1.0277628,-0.8614586,1.53583828,0,0,0,0
38:09.8,1.42E+12,4.4560833,-11.059452,-9.8590975,15.47158558,0,0,0,0
38:09.9,1.42E+12,3.064278,-17.8652,-14.77742,23.38647713,0,0,0,0
38:09.9,1.42E+12,2.8301647,-8.909922,-8.851244,12.87404609,0,0,0,0
38:09.9,1.42E+12,-0.6436615,-0.41837996,9.536519,9.567368319,0,0,0,0
38:09.9,1.42E+12,-9.653126,-11.879597,8.667576,17.59075155,0,0,0,0
38:10.0,1.42E+12,-11.82975,-16.637453,7.6556797,21.80268926,-3.034127476,-8.603128843,-0.751871418,13.1042788
38:10.0,1.42E+12,-4.6363087,-7.1700897,3.4009278,9.190857118,-3.0793664,-8.435073317,-0.735663122,12.96880766
38:10.0,1.42E+12,-8.058193,-7.028634,4.574038,11.63004703,-3.256397264,-8.326333437,-0.6687852,12.95038308
38:10.0,1.42E+12,-9.053174,-11.4818735,7.7886033,16.56670516,-3.415884612,-8.395333947,-0.547986408,13.11590737
38:10.0,1.42E+12,-8.628656,-17.627644,2.270778,19.75712454,-3.541895556,-8.668908065,-0.558796926,13.40349963
38:10.0,1.42E+12,-0.48843428,-18.593136,-5.322781,19.34619528,-3.46033915,-9.061897851,-0.706710332,13.68792781
38:10.1,1.42E+12,4.4848237,-17.649797,-0.17603393,18.21153386,-3.244916128,-9.504638171,-0.718658485,13.897458
38:10.1,1.42E+12,3.2022908,-18.332079,-0.8267308,18.6280238,-3.061496552,-9.977202491,-0.752622856,14.10947715
38:10.1,1.42E+12,-0.6024971,-17.524807,-6.1230173,18.57345428,-2.998070448,-10.37751803,-0.865449236,14.38999889
38:10.1,1.42E+12,-1.2740006,-13.232932,-9.346563,16.25090172,-3.026640035,-10.56573363,-0.902700756,14.54691842
38:10.1,1.42E+12,-0.3902385,-11.357033,-8.7439165,14.3384295,-3.093245525,-10.47207339,-0.748674066,14.37049239
38:10.2,1.42E+12,-1.8035994,-7.224726,-5.0389714,8.991155062,-3.185013691,-10.26437431,-0.487545094,14.04226029
38:10.2,1.42E+12,-1.3114228,-4.587061,-8.647517,9.876259851,-3.183549733,-10.27264012,-0.805145634,14.0704967
38:10.2,1.42E+12,1.9583775,-1.791325,-6.126011,6.676233853,-2.986457589,-10.16738201,-1.137092354,13.90618836
38:10.2,1.42E+12,3.1292427,-0.9580078,-1.8859282,3.777123773,-2.679401115,-9.963934085,-1.380992158,13.5920753
38:10.3,1.42E+12,-0.08083191,-0.1857637,0.55549484,0.591283745,-2.496065353,-9.890065693,-1.504314711,13.36244974
38:10.3,1.42E+12,-1.145418,-1.5542179,1.5631993,2.484183513,-2.311289593,-9.718438591,-1.655332685,13.06942167
38:10.3,1.42E+12,-1.2249027,-9.531579,0.98225737,9.660031801,-2.138527867,-9.590451731,-1.911195618,12.79750529
38:10.3,1.42E+12,-3.0294003,-18.200651,-0.66162413,18.4629009,-2.071434393,-9.572773471,-1.871061076,12.76075982
38:10.3,1.42E+12,-13.731545,-19.363283,-6.446345,24.59771169,-2.349741648,-9.626445831,-1.789378936,12.85818374
38:10.3,1.42E+12,-13.477524,-17.160913,-3.4587076,22.09305878,-2.632395879,-9.637367091,-1.881503362,12.96669867
38:10.4,1.42E+12,-9.739048,-19.011366,-3.5112484,21.64740073,-2.823617241,-9.661999891,-1.948893226,13.04402304
38:10.4,1.42E+12,-7.4347396,-17.508492,6.995253,20.26712139,-2.969036844,-9.698095851,-1.613321046,13.07931311
38:10.4,1.42E+12,0.045954436,-16.40304,4.9211664,17.12541129,-2.969366159,-9.769284811,-1.300950638,13.087519
38:10.4,1.42E+12,2.376907,-9.381142,1.1461666,9.745214722,-2.900877585,-9.737733411,-1.136685226,13.02078642
38:10.4,1.42E+12,-1.5468832,-5.757178,3.0660741,6.703637561,-2.918936031,-9.705170131,-0.890617924,12.91797481
38:10.5,1.42E+12,-4.2132883,-2.030677,3.4664915,5.821684524,-3.054356421,-9.647965091,-0.627180734,12.81110839
38:10.5,1.42E+12,-6.0089545,1.8842816,2.6629624,6.837354757,-3.240763787,-9.544685863,-0.550339526,12.85170553
38:10.5,1.42E+12,-6.3574295,5.849536,2.0327728,8.875029381,-3.375067498,-9.395299511,-0.55680009,12.97158154
38:10.5,1.42E+12,-5.9121056,7.293433,1.1249107,9.455822631,-3.483768451,-9.251361835,-0.547483465,13.14431152
38:10.5,1.42E+12,-3.7630248,5.5154305,-1.8961071,6.940860997,-3.544859413,-9.087159297,-0.612196893,13.22129748
38:10.6,1.42E+12,1.9585272,0.2932402,-7.793693,8.041359909,-3.479541243,-8.820878023,-0.734217153,13.11821844
38:10.6,1.42E+12,6.9487,-15.597565,-17.31659,24.31939051,-3.214274871,-8.760804923,-0.951696901,13.19113948
38:10.6,1.42E+12,4.1378455,-18.933977,-18.829494,27.02160422,-2.913005361,-8.751129063,-1.211125421,13.27081734
38:10.6,1.42E+12,-2.4286995,-4.4786863,8.785081,10.15553349,-2.791604811,-8.449904449,-1.039237869,13.04774819
38:10.6,1.42E+12,-7.481143,-8.133187,8.939111,14.21351247,-2.785371777,-8.232882749,-0.963453469,12.90886287
38:10.7,1.42E+12,-11.813284,-13.225148,12.00279,21.41320121,-3.000199039,-8.160214849,-0.789248733,12.99291742
38:10.7,1.42E+12,-10.835816,-2.928061,9.069041,14.43038303,-3.248047619,-7.977858069,-0.633506599,13.03725465
38:10.7,1.42E+12,-14.549145,-8.026309,7.103628,18.07099298,-3.521717521,-7.972828529,-0.523245887,13.22920348
38:10.7,1.42E+12,-14.039305,-15.310013,11.89202,23.93572064,-3.741795861,-8.185284729,-0.325375369,13.58929677
38:10.7,1.42E+12,-7.80941,-18.993402,0.58483386,20.5445427,-3.783744625,-8.571415745,-0.341152558,13.88252417
38:10.8,1.42E+12,2.0007393,-19.145336,-10.311607,21.8374927,-3.579632099,-9.040462335,-0.526086986,14.13272179
38:10.8,1.42E+12,4.3815384,-18.21637,-0.99363375,18.76223128,-3.328274811,-9.523606655,-0.535463488,14.3053979
38:10.8,1.42E+12,3.6485128,-19.17258,-2.9157865,19.73325316,-3.142391355,-9.995398547,-0.598683021,14.55661455
38:10.8,1.42E+12,2.0389102,-16.8069,-7.719447,18.60695849,-3.086641285,-10.31098129,-0.735842789,14.89803696
38:10.8,1.42E+12,1.3953983,-11.750115,-10.747051,15.98472534,-3.147854985,-10.32479455,-0.753601859,14.90829975
38:10.9,1.42E+12,-0.19160156,-9.75207,-6.5984287,11.7761981,-3.212972576,-10.16253195,-0.590022033,14.67609417
38:10.9,1.42E+12,-0.5019063,-6.181246,-8.490344,10.5140693,-3.279613996,-10.10795843,-0.582804033,14.62889464
38:10.9,1.42E+12,2.2767653,-3.4956808,-7.8198886,8.863075211,-3.22120546,-10.16950445,-0.929932185,14.61480878
38:11.0,1.42E+12,4.049529,-1.757196,-2.869383,5.264957902,-2.94715236,-9.967056428,-1.160671365,14.3682929
38:11.0,1.42E+12,1.3609699,-1.4672488,1.1837384,2.325144019,-2.683337962,-9.663652344,-1.290110191,13.978742
