time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
45:28.5,1.42171E+12,45.2,54.1,64.4,60.1,61.6,71.7,84.1,99,0.579,0.516,0.486
45:28.5,1.42171E+12,46.9,55.8,99.2,60.1,21.7,83.9,77.6,133.3,0.696,0.716,0.726
45:28.5,1.42171E+12,45.2,54.1,50.1,36.9,66.1,78.7,79.2,61.6,0.721,0.872,0.902
45:28.5,1.42171E+12,45.2,92.8,69.3,60.1,44.2,58.1,76,76,0.496,0.516,0.692
45:28.6,1.42171E+12,48.5,42.3,67.7,64.8,66.1,89.2,97.3,99,0.594,0.521,0.433
45:28.6,1.42171E+12,45.2,55.8,70.9,58.5,52.8,85.7,76,77.6,0.628,0.652,0.164
45:28.7,1.42171E+12,45.2,55.8,74.2,52.2,61.6,85.7,76,85.8,0.96,0.868,0.13
45:28.7,1.42171E+12,45.2,87.4,69.3,58.5,44.2,71.7,76,97.3,1.136,0.594,0.086
45:28.7,1.42171E+12,45.2,38.9,67.7,84.1,90.2,78.7,110.8,95.7,0.789,0.511,-0.237
45:28.7,1.42171E+12,81.2,52.4,69.3,56.9,44.2,80.4,99,95.7,1.131,0.824,-0.178
45:28.8,1.42171E+12,45.2,54.1,69.3,122.8,90.2,85.7,66.4,92.3,1.146,0.872,0.393
45:28.8,1.42171E+12,51.9,57.6,51.7,64.8,63.1,103.5,77.6,99,0.32,0.814,1.166
45:28.8,1.42171E+12,35.2,54.1,111.2,77.6,32.8,134.8,82.5,97.3,0.217,0.335,-0.076
45:28.8,1.42171E+12,45.2,54.1,61.2,50.7,64.6,189.6,114.2,85.8,0.433,0.516,-0.11
45:28.8,1.42171E+12,45.2,89.2,80.8,66.4,67.5,152,95.7,147.5,0.765,0.843,0.237
45:28.9,1.42171E+12,45.2,50.7,85.8,68,70.5,179.5,110.8,60.1,0.828,0.858,0.208
45:28.9,1.42171E+12,43.5,71.4,87.4,74.4,73.5,181.5,110.8,126.3,0.428,0.521,-0.061
45:28.9,1.42171E+12,45.2,19.2,95.8,84.1,44.2,181.5,117.6,135,0.433,0.565,-0.071
45:29.0,1.42171E+12,45.2,55.8,87.4,90.7,61.6,181.5,152.9,122.8,0.481,0.711,0.13
45:29.0,1.42171E+12,43.5,57.6,111.2,100.7,82.6,181.5,99,119.3,0.784,0.584,0.007
45:29.0,1.42171E+12,55.3,44,114.7,110.8,76.5,175.5,121.1,124.5,0.208,0.354,0.203
45:29.1,1.42171E+12,43.5,44,114.7,112.5,55.8,175.5,109.1,119.3,0.325,0.521,-0.086
45:29.1,1.42171E+12,43.5,59.3,116.4,99,64.6,173.5,100.7,115.9,0.609,0.521,0.007
45:29.1,1.42171E+12,43.5,38.9,77.5,110.8,57.2,173.5,99,100.7,0.701,0.882,0.022
45:29.2,1.42171E+12,40.2,66.2,116.4,100.7,76.5,167.6,114.2,119.3,0.452,0.516,0.164
45:29.2,1.42171E+12,50.2,57.6,100.9,105.7,78,165.6,114.2,124.5,0.418,0.516,0.017
45:29.2,1.42171E+12,41.9,54.1,184.2,138.5,73.5,152,109.1,114.2,0.349,0.579,-0.081
45:29.2,1.42171E+12,41.9,54.1,106.1,104,70.5,231.5,105.7,110.8,0.736,0.931,0.178
45:29.2,1.42171E+12,43.5,33.9,113,124.5,73.5,152,105.7,114.2,0.242,0.301,0.149
