time,time_milisec,gx,gy,gz,resultant
49:24.4,1.42163E+12,0.5553077,0.015987223,0.3666523,0.665624626
49:24.4,1.42163E+12,-0.46790862,-0.6363128,0.17586477,0.809172956
49:24.4,1.42163E+12,-1.0413357,1.0008327,-0.027712587,1.44458095
49:24.4,1.42163E+12,-2.4717064,0.89318186,-0.80151933,2.747642553
49:24.5,1.42163E+12,-3.055792,-0.94114596,-1.0424014,3.363067223
49:24.5,1.42163E+12,-2.4972868,-1.5167049,-1.0050969,3.089830884
49:24.5,1.42163E+12,-2.8905854,-1.6531335,-1.1553818,3.524661888
49:24.5,1.42163E+12,-3.3723497,-2.4290724,-1.387737,4.381660553
49:24.5,1.42163E+12,-3.0984263,-0.3581262,-0.7716757,3.213095594
49:24.6,1.42163E+12,-1.8417892,3.3243856,0.047962997,3.800793012
49:24.6,1.42163E+12,-0.30803105,6.909905,-0.7535564,6.95769484
49:24.6,1.42163E+12,-0.4199451,2.420545,-2.3096974,3.371957008
49:24.6,1.42163E+12,-1.8876206,-1.9920738,-2.299039,3.580090764
49:24.6,1.42163E+12,-1.3802762,-1.508178,-1.2108059,2.376092211
49:24.7,1.42163E+12,-1.2406496,-2.4120185,-0.55957144,2.76950625
49:24.7,1.42163E+12,-0.81217784,-3.3425062,-0.015988022,3.439801761
49:24.7,1.42163E+12,0.49348828,-2.2436147,0.21743326,2.307512693
49:24.7,1.42163E+12,2.25747,-0.1332313,0.49561986,2.315072445
49:24.7,1.42163E+12,3.654799,1.9462416,0.800453,4.217361391
49:24.8,1.42163E+12,3.412851,2.746695,0.77380675,4.448669718
49:24.8,1.42163E+12,1.1948174,3.4171147,-0.37304762,3.639151827
49:24.8,1.42163E+12,-1.8055502,6.093464,-2.064552,6.682266831
49:24.8,1.42163E+12,0.6288512,3.2327225,-0.062885754,3.293919126
49:24.8,1.42163E+12,-1.1020893,2.371516,0.96459377,2.787315932
49:24.9,1.42163E+12,-0.051160924,-0.53612256,0.6075339,0.811875778
49:24.9,1.42163E+12,0.6693533,-0.76101744,0.38583744,1.084459273
49:25.0,1.42163E+12,-0.02238307,2.9875772,2.086934,3.644367167
49:25.0,1.42163E+12,0.30483288,1.3951974,3.3606248,3.651478867
49:25.0,1.42163E+12,3.2561715,-5.4123864,2.5495129,6.811504636
49:25.0,1.42163E+12,4.495755,-5.054261,1.5113751,6.931206386
