time,time_milisec,ax,ay,az,resultant
49:24.4,1.42163E+12,1.9541862,-9.5809765,-8.432265,12.91189558
49:24.4,1.42163E+12,3.3889527,-6.098169,-10.908266,12.94847221
49:24.4,1.42163E+12,4.119733,-3.8896613,-5.1443524,7.652844349
49:24.5,1.42163E+12,0.17573456,-3.2841706,3.079097,4.505274409
49:24.5,1.42163E+12,-1.3024416,-1.8107845,1.5932868,2.741141633
49:24.5,1.42163E+12,-1.7859361,-7.575896,-3.011737,8.345916829
49:24.5,1.42163E+12,-2.5158184,-15.708783,-2.9856913,16.1867093
49:24.5,1.42163E+12,-10.038724,-19.054476,-4.98673,22.10693356
49:24.6,1.42163E+12,-8.949141,-15.688875,-3.6347415,18.42387769
49:24.6,1.42163E+12,-5.358407,-19.048338,-1.6492703,19.85627857
49:24.6,1.42163E+12,-2.6927505,-19.312988,8.55965,21.29577467
49:24.6,1.42163E+12,1.6892372,-15.857425,2.983446,16.22382199
49:24.6,1.42163E+12,2.6680517,-8.284223,0.9128018,8.75100324
49:24.7,1.42163E+12,-1.4340179,-3.658542,3.7404218,5.425135219
49:24.7,1.42163E+12,-6.2971053,0.45250902,4.551136,7.782746203
49:24.7,1.42163E+12,-7.9999638,5.341642,3.4910402,10.23327522
49:24.7,1.42163E+12,-8.114027,9.004375,2.2561083,12.32908058
49:24.7,1.42163E+12,-5.8098683,7.9564047,0.44771898,9.862017932
49:24.8,1.42163E+12,-1.5569124,2.2487736,-2.975213,4.04139225
49:24.8,1.42163E+12,6.0463767,-10.398127,-14.942976,19.18260274
49:24.8,1.42163E+12,7.0388126,-18.151403,-18.91811,27.14614521
49:24.8,1.42163E+12,-4.269272,-10.739866,10.659184,15.72226474
49:24.8,1.42163E+12,-11.723321,-16.26862,15.036831,25.06412852
49:24.9,1.42163E+12,-7.7833643,-13.917608,8.270152,17.96318419
49:24.9,1.42163E+12,-7.9881387,-2.7710376,2.9148884,8.943465976
49:25.0,1.42163E+12,-11.291619,-5.123396,3.540288,12.8950954
49:25.0,1.42163E+12,-12.665911,-13.86357,14.654376,23.81962658
49:25.0,1.42163E+12,-9.940379,-18.803448,9.733509,23.39063891
49:25.0,1.42163E+12,-1.5447876,-19.279758,-6.3426104,20.35495379
49:25.0,1.42163E+12,6.634204,-19.229013,-8.000263,21.85799194
49:25.0,1.42163E+12,7.7444453,-19.517612,-3.0500574,21.21830486
49:25.0,1.42163E+12,6.8966084,-16.742983,-7.818691,19.72365626
49:25.0,1.42163E+12,7.20362,-11.952794,-9.364377,16.80633756
49:25.1,1.42163E+12,3.0844858,-9.795032,-7.440428,12.6813514
49:25.1,1.42163E+12,2.3104453,-5.729336,-10.15129,11.88327132
49:25.1,1.42163E+12,3.579207,-3.3862581,-6.7855396,8.385762597
49:25.1,1.42163E+12,0.9062155,-1.8290465,0.12169693,2.044858864
49:25.1,1.42163E+12,-1.2786411,0.44741958,0.16690293,1.364904367
49:25.2,1.42163E+12,-1.6212785,-0.34413436,-2.2089565,2.761604833
49:25.2,1.42163E+12,-1.0268646,-6.0400896,-0.6512956,6.16127578
49:25.2,1.42163E+12,3.009342,-16.161293,1.4688954,16.50458071
49:25.3,1.42163E+12,-3.3741333,-19.115997,-6.6213307,20.50970836
49:25.3,1.42163E+12,-7.606133,-18.035694,-2.673291,19.75565747
49:25.3,1.42163E+12,-8.277487,-18.803448,0.21270767,20.54584367
49:25.3,1.42163E+12,-5.913603,-19.4754,4.870272,20.92800647
49:25.3,1.42163E+12,-0.1300795,-18.075062,6.3238993,19.14984306
49:25.3,1.42163E+12,1.9546353,-11.811488,1.8805394,12.11892224
49:25.3,1.42163E+12,0.25911117,-6.0577526,3.635041,7.069443276
49:25.4,1.42163E+12,-3.5735188,-1.7217196,2.8205845,4.867242743
49:25.4,1.42163E+12,-6.8066454,2.5840764,2.335144,7.645964291
49:25.4,1.42163E+12,-7.3664813,5.6461086,0.04430786,9.281462829
49:25.4,1.42163E+12,-6.413563,6.4017377,-0.56342834,9.079288927
49:25.4,1.42163E+12,-4.6843586,3.8166132,-1.8708097,6.325320604
