No alteration,,,,,,,,,,,,,,Activity,Max,Average,Difference
0.901639344,0.859375,0.555555556,0.936507937,,,,,,,,,,,,,81.33%,
0.803571429,0.985074627,0,1,,,,,,,,,,,,,69.72%,
1,0.96039604,0.520325203,0.430232558,,,,,,,,,,,,,72.77%,
1,0.97826087,1,1,,,,,,,,,,,,,99.46%,
,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
0.878787879,1,1,0.965517241,,,,,,,,,,,,,96.11%,
0.957746479,1,1,0.987179487,,,,,,,,,,,,,98.62%,
0.858736059,0.853281853,0.953125,0.848708487,,,,,,,,,,,,,87.85%,
0.716216216,0.8125,0.402439024,0.712643678,,,,,,,,,,,,,66.09%,
0.8,0.890909091,0.392857143,0.9375,,,,,,,,,,,,,75.53%,
0.932432432,0.9,0.904255319,0.901408451,,,,,,,,,,,,,90.95%,
0.953488372,0.979591837,0.975609756,0.92,,,,,,,,,,,,,95.72%,
,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
0.893939394,0.9375,0.913793103,1,,,,,,,,,,,,,93.63%,
1,0.922077922,0.943820225,1,,,,,,,,,,,,,96.65%,
0.873287671,0.890410959,0.903846154,0.822064057,,,,,,,,,,,,,87.24%,
0.630769231,0.788732394,0.746478873,0.6875,,,,,,,,,,,,,71.34%,
0.813953488,1,0.918918919,0.833333333,,,,,,,,,,,,,89.16%,
0.873563218,0.931818182,0.902173913,0.924050633,,,,,,,,,,,,,90.79%,
0.906976744,0.92,0.958333333,0.971428571,,,,,,,,,,,,,93.92%,
,,,,,,,,,,,,,,,,,
with IQR ruule,,,,,,,,,,,,,,,,,
0.822222222,,,,,,,,,,,,,,,,82.22%,
0.946236559,,,,,,,,,,,,,,,,94.62%,
0.795053004,,,,,,,,,,,,,,,,79.51%,
0.949152542,,,,,,,,,,,,,,,,94.92%,
0.893617021,,,,,,,,,,,,,,,,89.36%,
0.734177215,,,,,,,,,,,,,,,,73.42%,
0.930232558,,,,,,,,,,,,,,,,93.02%,
0.841294299,,,,,,,,,,,,,,,,84.13%,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,#DIV/0!,
