time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
41:38.0,1.42E+12,0.89531374,-0.5435837,0.26113307,1.079472284,0.07399099,0.105881227,-0.011809939,1.289047759
41:38.1,1.42E+12,0.7919261,-0.7834,0.18758908,1.129624792,0.097226517,0.088614463,-0.009060049,1.304006415
41:38.1,1.42E+12,0.7471605,-0.43806496,0.09166281,0.870948789,0.122785598,0.084031301,-0.009656922,1.309760954
41:38.1,1.42E+12,0.7226458,-0.37198183,0.06821394,0.815622815,0.149346575,0.085672708,-0.010914626,1.310712899
41:38.1,1.42E+12,0.5595709,-0.14815351,0.060753096,0.582030921,0.176035455,0.09110854,-0.009742196,1.304726417
41:38.2,1.42E+12,0.39756176,-0.06608315,0.056489907,0.406956319,0.207819106,0.096778862,-0.002132022,1.287197135
41:38.2,1.42E+12,0.23022309,-0.17479977,0.054358315,0.29413,0.246743948,0.103642931,0.014196809,1.254124276
41:38.2,1.42E+12,0.024514131,-0.2707263,0.05542411,0.277426574,0.283345235,0.106819166,0.036942053,1.216708226
41:38.2,1.42E+12,-0.28671405,-0.3133603,0.045831405,0.427200353,0.311057332,0.094284764,0.060284171,1.184498822
41:38.2,1.42E+12,-0.49242327,-0.23768473,0.035172634,0.547915889,0.334932364,0.085374258,0.079746585,1.1566441
41:38.2,1.42E+12,-0.62778616,-0.10338764,0.001065797,0.636243352,0.352135181,0.079064431,0.092941814,1.136549493
41:38.3,1.42E+12,-0.66189325,-0.1310997,-0.036239497,0.675724135,0.362708416,0.077465655,0.102044163,1.124284369
41:38.3,1.42E+12,-0.7748731,-0.2739237,0.006394783,0.821890143,0.367483426,0.070601586,0.111253102,1.118465525
41:38.3,1.42E+12,-0.7823342,-0.4583159,0.13003337,0.915974313,0.371981314,0.058791969,0.124107253,1.114027051
41:38.3,1.42E+12,-0.6011399,-0.4167477,0.16627233,0.750129531,0.378205878,0.050371752,0.138410964,1.107734202
41:38.3,1.42E+12,-0.63098353,-0.26539677,0.15561382,0.70199097,0.38097709,0.051693415,0.151009313,1.102517427
41:38.4,1.42E+12,-0.5425179,-0.31442612,0.07674085,0.631726693,0.383130106,0.056233934,0.158491581,1.097215182
41:38.4,1.42E+12,-0.49562067,-0.05222672,0.008526376,0.498437737,0.381552646,0.064568887,0.161177523,1.094386532
41:38.4,1.42E+12,-0.328282,0.15135011,-0.036239497,0.363303218,0.377992708,0.072029829,0.159578748,1.096225082
41:38.4,1.42E+12,-0.2739237,0.34213763,-0.01811988,0.438657818,0.36955118,0.076804839,0.155805634,1.100029513
41:38.4,1.42E+12,-0.18119483,0.3837056,-0.023448868,0.424984004,0.356355957,0.077401713,0.150391119,1.095639044
41:38.5,1.42E+12,-0.24514584,0.26539627,0.004263188,0.361316811,0.334825786,0.074609181,0.144592901,1.083456662
41:38.5,1.42E+12,-0.2728579,0.14175767,0.06821394,0.314960017,0.305109888,0.069748901,0.138986532,1.063368439
41:38.5,1.42E+12,-0.23235548,0.06927974,0.09805759,0.261541665,0.268487291,0.060518636,0.132229037,1.033797791
41:38.5,1.42E+12,-0.17373398,-0.008526909,0.0948602,0.198127892,0.225128509,0.04459484,0.122892191,0.993430781
41:38.5,1.42E+12,-0.16947025,0.06714814,0.10232131,0.209042313,0.174841712,0.025430855,0.111423645,0.944672466
41:38.6,1.42E+12,-0.27605528,-0.024514664,0.12577018,0.304344582,0.123020086,0.004796005,0.09786604,0.897769898
41:38.6,1.42E+12,-0.5766252,-0.38583824,0.13003337,0.705886992,0.074225474,-0.01690471,0.084244478,0.868908849
41:38.6,1.42E+12,-0.9240924,-0.48922536,-0.049029328,1.046753119,0.02470608,-0.027222131,0.068768337,0.855584104
41:38.6,1.42E+12,-1.3994613,-0.2845822,-0.38903564,1.480144482,-0.030760754,-0.009870097,0.048325337,0.847155907
41:38.7,1.42E+12,-1.7373358,-0.0820709,-0.81430995,1.920461405,-0.09232425,0.002237955,0.02338444,0.854210847
41:38.7,1.42E+12,-1.5657341,0.16520654,-1.2331885,1.999892584,-0.13939219,-0.00010691,-0.000533224,0.877456595
41:38.7,1.42E+12,-1.5934463,0.76847726,-1.3056667,2.198725527,-0.176547725,-0.002046761,-0.020997545,0.902471286
41:38.7,1.42E+12,-1.7501259,-0.21210428,-0.9592653,2.007017391,-0.2169008,-0.027008959,-0.036324469,0.920866781
41:38.7,1.42E+12,-1.5891825,0.08953121,-0.43486705,1.650038244,-0.260941718,-0.028373243,-0.04227191,0.94091548
41:38.7,1.42E+12,-1.1543161,0.11404561,-0.29737255,1.197448326,-0.297074035,-0.010381699,-0.05148086,0.944184521
41:38.8,1.42E+12,-0.9571337,0.21316953,-0.2696605,1.016987194,-0.322675758,0.012917781,-0.066573302,0.942204607
41:38.8,1.42E+12,-0.8803923,0.32934728,-0.4487232,1.041591447,-0.344269877,0.025878513,-0.086120995,0.950063052
41:38.8,1.42E+12,-0.63737863,0.32828146,-0.62885195,0.953663992,-0.362026941,0.027029627,-0.105199716,0.959303537
41:38.8,1.42E+12,-0.49775228,-0.024514664,-0.67148596,0.836212709,-0.375030316,0.014921582,-0.121848297,0.96359294
41:38.8,1.42E+12,-0.4508548,-0.5180032,-0.61925924,0.924705019,-0.387777877,-0.00164172,-0.134276113,0.97484837
41:38.9,1.42E+12,-0.31016266,-0.61499554,-0.5158716,0.860548603,-0.395260145,-0.02960962,-0.140671215,0.975857292
41:38.9,1.42E+12,-0.14708772,-0.27712163,-0.3154919,0.444934078,-0.388737148,-0.10790697,-0.138305029,0.910876795
41:39.0,1.42E+12,0.082070366,0.020250943,-0.12577072,0.151538509,-0.351560298,-0.123447064,-0.134190844,0.874398505
41:39.0,1.42E+12,0.4188785,0.2376842,-0.01279063,0.481784783,-0.315577204,-0.097504274,-0.134595868,0.849233835
41:39.0,1.42E+12,0.7663456,0.27179158,0.057555705,0.815149619,-0.293727284,-0.06152118,-0.135683035,0.834220781
41:39.0,1.42E+12,1.085035,0.24088159,0.13856028,1.120055286,-0.286564776,-0.042485101,-0.131696756,0.836250346
41:39.0,1.42E+12,1.3568265,0.2344868,0.25580356,1.40049908,-0.288014336,-0.040609203,-0.127092284,0.835531528
41:39.0,1.42E+12,1.5827869,0.37411287,0.42953727,1.682164402,-0.274371453,-0.05847285,-0.121208796,0.837962526
41:39.0,1.42E+12,1.8023521,0.6043365,0.65229976,2.009773787,-0.25514352,-0.057449631,-0.111722728,0.85771401
41:39.0,1.42E+12,1.9057394,0.69706535,0.8025846,2.182174329,-0.234935007,-0.03263665,-0.100893698,0.879768051
41:39.1,1.42E+12,1.8865542,0.5702294,0.98910844,2.205126714,-0.213042445,-0.005564062,-0.08486331,0.90127809
41:39.1,1.42E+12,1.6659231,0.075675055,0.9880426,1.938363915,-0.194667193,0.004710738,-0.066935715,0.922626392
41:39.1,1.42E+12,1.5124409,-0.40182546,0.7908603,1.753397043,-0.178871291,0.004113866,-0.052482787,0.941381877
41:39.1,1.42E+12,1.283283,-0.80471724,0.63311434,1.641712174,-0.164397049,-0.009017409,-0.041035563,0.962575502
41:39.1,1.42E+12,1.0487963,-1.1468549,0.5542419,1.649979977,-0.151372358,-0.030632844,-0.031080523,0.987435975
41:39.2,1.42E+12,0.95500106,-1.0551921,0.47430313,1.500140277,-0.136876798,-0.048240691,-0.022681626,1.01155618
41:39.2,1.42E+12,0.77593833,-0.76847804,0.34000605,1.143784466,-0.121848314,-0.058195725,-0.016989988,1.028883338
41:39.2,1.42E+12,0.4263396,-0.43060386,0.041567683,0.607382096,-0.107587241,-0.060540597,-0.017075262,1.032486973
41:39.3,1.42E+12,0.66509014,-0.11937566,-0.16307548,0.695118015,-0.084436973,-0.058174415,-0.021040224,1.035431016
41:39.3,1.42E+12,0.836692,0.06501655,-0.11617774,0.847217754,-0.05514741,-0.054806331,-0.023385095,1.039650504
41:39.3,1.42E+12,0.614995,-0.15028511,0.04263348,0.634525081,-0.029609645,-0.05519004,-0.021807636,1.038826523
41:39.3,1.42E+12,0.4231422,-0.24940903,0.12470385,0.506759544,-0.005649339,-0.054699746,-0.019441454,1.032523911
