time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
41:38.4,1.42171E+12,69.9,132.2,128.7,59.8,143.7,103.8,99,44.6,-1.4,-1.513,-1.552
41:38.5,1.42171E+12,61.8,128.4,121.1,66.4,147.5,102,93.4,37.5,-1.386,-1.488,-1.503
41:38.5,1.42171E+12,60.1,128.4,126.8,50,149.4,109.2,102.8,57.1,-1.4,-1.513,-1.562
41:38.5,1.42171E+12,55.3,117,126.8,63.1,155.1,114.6,114.4,49.9,-1.386,-1.513,-1.562
41:38.5,1.42171E+12,48.9,102.2,128.7,59.8,155.1,127.3,128.1,60.7,-1.405,-1.513,-1.557
41:38.6,1.42171E+12,33.2,91.3,126.8,64.8,166.6,132.9,148.1,79,-1.405,-1.527,-1.552
41:38.6,1.42171E+12,45.8,80.5,126.8,53.2,158.9,142.2,152.2,84.6,-1.391,-1.508,-1.562
41:38.6,1.42171E+12,36.4,84.1,130.6,46.8,160.8,149.7,170.8,113.3,-1.395,-1.518,-1.557
41:38.6,1.42171E+12,28.6,68.2,130.6,51.6,153.2,149.7,160.4,113.3,-1.4,-1.508,-1.562
41:38.7,1.42171E+12,36.4,75.2,136.4,46.8,164.7,146,154.2,115.3,-1.391,-1.513,-1.571
41:38.7,1.42171E+12,22.5,62.9,128.7,45.1,155.1,138.4,132,107.5,-1.4,-1.513,-1.562
41:38.7,1.42171E+12,33.2,61.2,124.9,45.1,127,125.5,122.2,99.8,-1.405,-1.508,-1.562
41:38.7,1.42171E+12,34.8,49.2,96.9,40.3,114.3,105.6,110.5,75.3,-1.444,-1.527,-1.552
41:38.8,1.42171E+12,37.9,52.6,93.3,37.1,98.2,86.2,85.9,60.7,-1.391,-1.518,-1.566
41:38.8,1.42171E+12,33.2,56,91.5,34,100,79.3,82.1,51.7,-1.391,-1.513,-1.557
41:38.9,1.42171E+12,31.7,37.4,78.9,29.2,94.7,69.1,71.1,49.9,-1.391,-1.503,-1.498
41:38.9,1.42171E+12,30.1,54.3,91.5,38.7,91.2,64,67.5,46.3,-1.395,-1.542,-1.562
41:38.9,1.42171E+12,34.8,47.5,80.7,37.1,86,59,65.6,44.6,-1.381,-1.483,-1.557
41:38.9,1.42171E+12,27.1,52.6,77.1,37.1,82.6,64,63.8,44.6,-1.405,-1.513,-1.562
41:38.9,1.42171E+12,21,45.8,80.7,38.7,80.8,55.7,69.3,44.6,-1.444,-1.513,-1.547
41:39.0,1.42171E+12,36.4,44.1,77.1,34,77.4,52.4,58.4,41,-1.381,-1.606,-1.522
41:39.0,1.42171E+12,28.6,44.1,75.4,26.1,82.6,52.4,63.8,39.3,-1.395,-1.508,-1.562
41:39.0,1.42171E+12,33.2,44.1,71.8,35.5,65.5,55.7,60.2,35.8,-1.391,-1.483,-1.513
41:39.0,1.42171E+12,33.2,52.6,73.6,37.1,77.4,47.4,56.6,37.5,-1.395,-1.513,-1.64
41:39.1,1.42171E+12,28.6,40.7,66.6,35.5,77.4,44.2,53.1,28.8,-1.395,-1.513,-1.557
