"1.0","1.0","52.230275229357765","53.1","177.4545879976433","13.321208203374171","48.1","61.5","83.9","25.2","-58.7","69.47657657657656","70.0","138.55855044233425","11.77108960302037","62.35","78.7","98.1","38.2","-59.89999999999999","67.50380952380951","65.7","153.61941405895695","12.394329915689552","60.8","72.3","129.5","36.7","-92.8","73.46428571428574","72.3","194.7086224489796","13.953803153584316","69.2","75.4","141.5","16.9","-124.6","53.77272727272728","55.8","70.66279155188245","8.406116318008124","50.65","57.95","78.0","13.5","-64.5","1.8435643564356434","0.0","35.08721105773944","5.923445876999252","0.0","0.0","45.8","0.0","-45.8","94.70588235294115","93.7","94.82133794694349","9.737624861686934","90.5","98.5","147.0","60.9","-86.1","103.01217391304354","98.3","813.4174170132325","28.520473646369066","85.75","118.8","229.4","49.6","-179.8","109.7848739495799","99.9","3073.3154014546994","55.437490937583924","86.6","119.65","596.5","49.6","-546.9","109.7848739495799","99.9","3073.3154014546994","55.437490937583924","86.6","119.65","596.5","49.6","-546.9","109.7848739495799","99.9","3073.3154014546994","55.437490937583924","86.6","119.65","596.5","49.6","-546.9","60.93181818181814","61.5","232.18235123966946","15.237531008653255","51.4","71.7","98.1","25.2","-72.89999999999999","70.38128078817734","70.6","182.32684170933535","13.502845689310655","64.0","74.0","141.5","16.9","-124.6","50.23079470198679","55.8","1522.1401444015614","39.01461449766691","0.0","90.5","147.0","0.0","-147.0"
"1.0","1.0","37.60961538461538","39.8","113.20663831360947","10.639860822097697","31.6","41.4","71.7","0.0","-71.7","52.50520833333332","53.1","85.63799370659721","9.2540798411618","51.4","54.7","105.3","25.2","-80.1","50.16326530612244","51.0","121.66905872553103","11.030369836298828","46.2","54.3","87.4","24.2","-63.2","67.9852941176471","67.6","58.86282295271051","7.672211086297777","64.5","70.7","97.8","40.3","-57.5","49.611224489795916","49.9","76.82201686797167","8.764816989987393","48.5","51.4","90.2","21.7","-68.5","1.2060000000000002","0.0","35.788764","5.982371101829107","0.0","0.0","50.2","0.0","-50.2","80.995652173913","81.0","108.81476370510397","10.431431527125314","79.4","82.6","119.8","22.5","-97.3","81.71226415094345","80.0","222.11145336418653","14.903404086455769","73.9","89.07500000000002","143.5","51.2","-92.3","92.62416666666672","80.0","6661.823832638889","81.6199965243744","75.1","91.6","954.7","41.8","-912.9000000000001","92.62416666666672","80.0","6661.823832638889","81.6199965243744","75.1","91.6","954.7","41.8","-912.9000000000001","92.62416666666672","80.0","6661.823832638889","81.6199965243744","75.1","91.6","954.7","41.8","-912.9000000000001","44.75949999999995","46.4","155.35460975","12.46413293213772","39.4","53.1","105.3","0.0","-105.3","59.25250000000002","60.8","169.01229375","13.00047282793976","51.0","69.2","97.8","24.2","-73.6","42.87620689655173","49.9","1147.8924338882282","33.88056129830538","0.0","79.4","119.8","0.0","-119.8"
"1.0","1.0","56.81899999999997","55.9","117.967139","10.861267835754719","54.3","59.1","101.2","24.2","-77.0","41.25199999999998","43.1","80.564296","8.9757615832864","39.8","46.4","56.4","0.0","-56.4","64.49345794392525","64.4","99.6873403790724","9.98435478030866","59.6","70.9","85.8","36.0","-49.8","75.56826923076923","77.0","76.01235854289939","8.71850666931553","70.7","80.2","101.1","52.3","-48.8","48.055681818181824","49.2","102.01246771694214","10.10012216346625","47.1","51.4","78.0","0.0","-78.0","1.1989583333333333","0.0","32.19906141493056","5.674421681099367","0.0","0.0","32.6","0.0","-32.6","73.5929292929293","74.7","104.63197020712174","10.22897698731998","73.2","76.3","106.6","22.5","-84.1","64.31700000000002","64.8","49.351811","7.025084412304239","63.2","66.4","109.1","47.6","-61.49999999999999","63.87750000000003","63.2","172.98074375","13.152214404806514","60.1","66.4","151.1","29.3","-121.8","63.87750000000003","63.2","172.98074375","13.152214404806514","60.1","66.4","151.1","29.3","-121.8","63.87750000000003","63.2","172.98074375","13.152214404806514","60.1","66.4","151.1","29.3","-121.8","49.03549999999999","49.4","159.84858975","12.643124208438357","42.675000000000004","56.025","101.2","0.0","-101.2","69.95213270142176","70.7","118.67481772646615","10.89379721339011","62.8","77.0","101.1","36.0","-65.1","41.094346289752714","48.5","1003.7050563747831","31.681304524510715","0.0","73.2","106.6","0.0","-106.6"
"1.0","1.0","49.78041237113402","52.7","95.86384312891911","9.791008279483739","47.8","54.3","101.2","18.1","-83.1","36.88712871287125","38.2","59.76310165670033","7.730659846138642","36.5","39.8","49.7","6.2","-43.5","58.52637362637366","58.9","117.24216157468905","10.827841962953146","57.3","60.5","134.2","25.0","-109.19999999999999","67.54375000000003","67.6","65.02912760416667","8.064063963298324","64.5","69.2","114.3","40.3","-74.0","44.95789473684208","45.6","100.93885872576178","10.046833268536","44.2","47.1","88.7","0.0","-88.7","1.6038834951456309","0.0","66.75047035535866","8.170096104413867","0.0","0.0","68.4","0.0","-68.4","67.78279569892479","70.1","92.12809110879869","9.598337934705086","70.1","71.6","93.7","22.5","-71.2","64.84065934065936","64.8","95.9953797850501","9.797723193938992","63.2","64.8","109.1","35.4","-73.69999999999999","66.75333333333334","64.8","289.8174888888889","17.024026811800105","61.6","66.4","138.5","35.4","-103.1","66.75333333333334","64.8","289.8174888888889","17.024026811800105","61.6","66.4","138.5","35.4","-103.1","66.75333333333334","64.8","289.8174888888889","17.024026811800105","61.6","66.4","138.5","35.4","-103.1","43.20353535353532","41.4","118.99104810733598","10.90830179759141","38.2","52.275000000000006","101.2","6.2","-95.0","63.15561497326208","64.5","110.75134547742286","10.523846515291966","57.3","68.4","134.2","25.0","-109.19999999999999","36.90721649484543","45.6","852.9835561696248","29.20588221864946","0.0","70.1","93.7","0.0","-93.7"
"1.0","1.0","53.0909090909091","55.9","79.5359779614325","8.918294565747","50.2","57.5","84.0","24.2","-59.8","39.72100000000001","39.8","93.030659","9.645240225105853","38.2","43.1","91.0","0.0","-91.0","62.5308510638298","63.2","92.62255885015844","9.62406145295002","60.1","64.8","109.1","11.6","-97.5","72.02604166666666","70.7","141.02088433159724","11.875221443476212","69.2","73.9","129.4","40.3","-89.10000000000001","43.5055555555555","45.6","112.73408024691358","10.61763063243931","43.14999999999999","47.1","90.2","0.0","-90.2","1.105940594059406","0.0","17.024915204391732","4.126125931717515","0.0","0.0","33.7","0.0","-33.7","69.32021276595746","70.1","60.30629357175194","7.765712689235415","68.5","71.6","93.7","45.8","-47.900000000000006","73.50204081632656","71.2","93.59856726364015","9.674635252227349","69.6","74.4","124.5","58.5","-66.0","73.73666666666674","71.2","241.35882222222222","15.53572728333702","69.6","77.6","124.5","29.3","-95.2","73.73666666666674","71.2","241.35882222222222","15.53572728333702","69.6","77.6","124.5","29.3","-95.2","73.73666666666674","71.2","241.35882222222222","15.53572728333702","69.6","77.6","124.5","29.3","-95.2","46.37236180904524","43.1","131.0047135173354","11.44572905136826","39.8","55.9","91.0","0.0","-91.0","67.32842105263163","67.0","139.6136132963989","11.815820466493172","63.2","72.3","129.4","11.6","-117.80000000000001","36.994035087719325","45.6","876.0075082794706","29.597424014252837","0.0","68.5","93.7","0.0","-93.7"
"1.0","1.0","53.24565217391304","52.7","85.32443761814746","9.237122799776316","52.7","54.3","101.2","27.3","-73.9","39.3978494623656","38.2","180.09827494508036","13.420069856192269","36.5","39.8","99.9","3.1","-96.80000000000001","58.616304347826116","60.1","68.65484286389415","8.285821797739446","60.1","61.6","71.2","1.4","-69.8","68.30947368421052","67.6","47.73306814404433","6.908912225817052","67.6","69.2","114.3","49.3","-65.0","45.30217391304344","44.2","166.2932561436673","12.895474250436363","44.2","45.6","110.6","13.5","-97.1","1.1603960396039603","0.0","55.86872855602392","7.474538685164719","0.0","0.0","68.4","0.0","-68.4","69.0666666666667","68.5","115.68673835125446","10.75577697571191","68.5","70.1","119.8","22.5","-97.3","66.43269230769232","68.0","178.22623890532543","13.35014003317289","60.1","69.6","152.9","38.4","-114.5","68.16916666666667","68.0","370.4909659722222","19.248141883626644","60.1","71.2","152.9","11.6","-141.3","68.16916666666667","68.0","370.4909659722222","19.248141883626644","60.1","71.2","152.9","11.6","-141.3","68.16916666666667","68.0","370.4909659722222","19.248141883626644","60.1","71.2","152.9","11.6","-141.3","46.28432432432432","44.7","180.90651102994886","13.450149108093518","38.2","52.7","101.2","3.1","-98.10000000000001","63.54064171123006","64.5","81.50947124596071","9.028259591192574","60.1","69.2","114.3","1.4","-112.89999999999999","37.441258741258764","44.2","920.7955005134725","30.34461238034641","0.0","68.5","119.8","0.0","-119.8"
"1.0","1.0","49.644329896907195","51.0","72.00721011797214","8.485706223878607","49.4","52.7","92.6","24.2","-68.39999999999999","35.696666666666665","36.5","178.30765555555553","13.35318896576977","34.9","38.2","105.3","0.0","-105.3","55.12365591397848","58.5","74.52116082784137","8.632563977628047","53.8","60.1","71.2","11.6","-59.6","66.15168539325846","66.1","96.26811513697766","9.811631624606463","64.5","67.6","114.3","28.5","-85.8","46.13707865168536","44.2","134.4335689938139","11.594549106964614","44.2","45.6","120.2","21.7","-98.5","0.6969072164948454","0.0","14.808547135721119","3.848187513066524","0.0","0.0","32.6","0.0","-32.6","66.38958333333335","68.5","77.1257248263889","8.782125302362116","65.5","68.5","95.3","39.9","-55.4","63.329787234042556","63.2","68.29655952919872","8.26417325140263","61.6","64.8","109.1","47.6","-61.49999999999999","61.75250000000002","63.2","207.92632708333332","14.419650726814895","58.5","64.8","110.8","5.8","-105.0","61.75250000000002","63.2","207.92632708333332","14.419650726814895","58.5","64.8","110.8","5.8","-105.0","61.75250000000002","63.2","207.92632708333332","14.419650726814895","58.5","64.8","110.8","5.8","-105.0","42.93155080213901","39.8","171.73403128485228","13.104733163435732","36.5","51.0","105.3","0.0","-105.3","60.516483516483575","60.8","115.54533268928871","10.749201490775429","58.5","66.1","114.3","11.6","-102.7","37.4014184397163","44.2","847.3312036617876","29.10895401181203","0.0","67.0","120.2","0.0","-120.2"
"1.0","1.0","48.94062499999999","50.2","81.253662109375","9.01408132364996","49.0","51.0","101.2","24.2","-77.0","33.89782608695653","36.5","72.03064744801513","8.487087100296257","33.3","36.5","76.9","0.0","-76.9","58.27692307692308","58.5","191.47869822485205","13.837582817271667","55.4","58.5","138.5","26.3","-112.2","65.39285714285718","64.5","101.90804421768706","10.094951422254942","64.5","66.1","109.3","40.3","-69.0","44.56195652173909","44.2","129.97540051984876","11.400675441387179","42.8","45.6","90.2","10.7","-79.5","1.5480769230769231","0.0","26.300957840236688","5.128445947871215","0.0","0.0","32.6","0.0","-32.6","69.83186813186813","68.5","201.71096244414926","14.202498457811895","67.0","68.5","147.0","34.1","-112.9","62.53723404255321","61.6","83.93063490267089","9.161366432070649","60.1","63.2","97.3","26.3","-71.0","62.83666666666674","61.6","176.65015555555553","13.29098023305864","60.1","64.8","105.7","26.3","-79.4","62.83666666666674","61.6","176.65015555555553","13.29098023305864","60.1","64.8","105.7","26.3","-79.4","62.83666666666674","61.6","176.65015555555553","13.29098023305864","60.1","64.8","105.7","26.3","-79.4","41.5792553191489","38.25","133.28611221140787","11.54496046816133","34.9","51.0","101.2","0.0","-101.2","61.692571428571476","60.1","161.12365910204082","12.693449456394461","56.9","64.5","138.5","26.3","-112.2","36.98745644599301","44.2","930.7057660042007","30.507470658909117","0.0","67.0","147.0","0.0","-147.0"
"1.0","1.0","52.20752688172043","51.0","96.1658573245462","9.806419189721915","49.4","52.7","101.2","24.2","-77.0","35.36060606060607","36.5","75.66016528925621","8.698285192453522","33.3","38.2","51.4","12.5","-38.9","59.07358490566039","58.5","120.23307582769668","10.965084396742995","56.9","61.6","97.3","23.3","-74.0","65.86222222222224","64.5","108.00123950617284","10.392364481010702","64.5","66.1","141.5","40.3","-101.2","43.486363636363606","44.2","70.38004132231406","8.389281335270265","42.8","45.6","78.0","10.7","-67.3","0.897979797979798","0.0","27.946460565248444","5.286441200396392","0.0","0.0","50.2","0.0","-50.2","66.73225806451615","67.0","145.3707873742629","12.056980856510593","65.5","68.5","119.8","32.6","-87.19999999999999","62.703157894736854","63.2","52.6325163434903","7.254827106381675","61.6","64.8","97.3","35.4","-61.9","63.02083333333338","63.2","260.7124826388889","16.146593530490847","60.1","64.8","133.3","5.8","-127.50000000000001","63.02083333333338","63.2","260.7124826388889","16.146593530490847","60.1","64.8","133.3","5.8","-127.50000000000001","63.02083333333338","63.2","260.7124826388889","16.146593530490847","60.1","64.8","133.3","5.8","-127.50000000000001","43.520833333333286","47.8","156.47800347222224","12.509116814236817","34.9","51.0","101.2","12.5","-88.7","62.190816326530665","63.0","126.0610381091212","11.22769068460301","58.5","66.1","141.5","23.3","-118.2","36.149285714285696","44.2","847.2296423469388","29.10720945654081","0.0","67.0","119.8","0.0","-119.8"
"1.0","1.0","51.210752688172036","52.7","62.18870158399814","7.88598133297297","49.4","54.3","94.3","24.2","-70.1","38.10860215053762","36.5","124.04272170193087","11.137446821508549","34.9","39.8","103.5","6.2","-97.3","63.918269230769255","64.8","71.38245469674555","8.448813804123366","61.6","69.6","84.1","47.6","-36.49999999999999","74.02952380952375","73.9","64.08531882086167","8.005330650314306","70.7","77.0","114.3","43.3","-71.0","45.064893617021234","45.6","55.96781009506564","7.48116368588909","44.2","47.1","78.0","16.2","-61.8","1.265625","0.0","59.40413085937501","7.707407531678535","0.0","0.0","68.4","0.0","-68.4","71.89090909090912","71.6","90.18719008264466","9.496693639506576","70.1","74.7","101.7","39.9","-61.800000000000004","67.36347826086958","66.4","214.25118790170131","14.637321746197332","57.7","74.4","105.7","35.4","-70.30000000000001","68.69916666666668","66.4","305.7774159722222","17.486492386188324","58.1","77.6","135.0","26.3","-108.7","68.69916666666668","66.4","305.7774159722222","17.486492386188324","58.1","77.6","135.0","26.3","-108.7","68.69916666666668","66.4","305.7774159722222","17.486492386188324","58.1","77.6","135.0","26.3","-108.7","44.6596774193548","43.85","136.0322988206729","11.663288507992629","36.5","52.7","103.5","6.2","-97.3","68.9980861244019","69.6","93.27521164808498","9.657909279346383","64.5","74.4","114.3","43.3","-71.0","38.43165467625903","45.6","914.2455447440608","30.236493592082745","0.0","70.1","101.7","0.0","-101.7"
