time,time_milisec,gx,gy,gz,resultant,MA_x,MA_y,MA_z,MA_R
00:40.4,1.42E+12,0.09699179,-0.007461112,-0.0852683,0.129359029,0.026027734,0.028543164,-0.02530361,0.094244364
00:40.4,1.42E+12,0.0948602,-0.03837109,-0.094861,0.139532818,0.027797042,0.029545056,-0.02816009,0.095018338
00:40.4,1.42E+12,0.10871663,-0.10871716,-0.09166361,0.178999843,0.030248503,0.029566372,-0.031059202,0.096141969
00:40.4,1.42E+12,0.101255514,-0.16307548,-0.08633409,0.210475334,0.032763907,0.027498619,-0.033297482,0.098963248
00:40.5,1.42E+12,0.06288496,-0.17373398,-0.0724782,0.198471921,0.033723177,0.024002623,-0.034683088,0.102626738
00:40.5,1.42E+12,0.03410684,-0.12683651,-0.062885754,0.145620723,0.033446054,0.020954294,-0.035706306,0.104426991
00:40.5,1.42E+12,0.018119348,-0.05542464,-0.06608315,0.08813163,0.032977088,0.019483415,-0.037027969,0.105282721
00:40.5,1.42E+12,0.015987223,-0.005329518,-0.081005104,0.082739482,0.032614695,0.019590005,-0.038818599,0.106202775
00:40.5,1.42E+12,0.024514131,0.030909447,-0.10765136,0.114652308,0.032380204,0.02118878,-0.040907667,0.107274782
00:40.6,1.42E+12,0.06501655,0.07887244,-0.142824,0.175632311,0.032934445,0.023554967,-0.043423071,0.109649407
00:40.6,1.42E+12,0.123638056,0.08420196,-0.16200967,0.220507306,0.034895608,0.025196374,-0.046194287,0.113364219
00:40.6,1.42E+12,0.14495532,0.087399356,-0.15454857,0.229207227,0.037773398,0.026304857,-0.048688375,0.117073326
00:40.6,1.42E+12,0.13962607,0.060753096,-0.12470465,0.196818769,0.040843048,0.026518027,-0.050692175,0.119860364
00:40.6,1.42E+12,0.11724327,0.040501885,-0.0852683,0.150522656,0.043465042,0.026240898,-0.052099096,0.12170987
00:40.7,1.42E+12,0.05542411,0.07887244,-0.04476614,0.10628594,0.044765389,0.026816455,-0.052759922,0.122788885
00:40.7,1.42E+12,0.001065797,0.13856028,-0.017053818,0.139609884,0.045106465,0.028628401,-0.052909134,0.124551889
00:40.7,1.42E+12,-0.010659036,0.16094308,-0.011724833,0.161721247,0.04574597,0.030696148,-0.052887818,0.126331125
00:40.7,1.42E+12,0.029843649,0.09912392,-0.003197924,0.103568439,0.047472652,0.031634103,-0.052674648,0.126839069
00:40.7,1.42E+12,0.05542411,-0.020251475,-0.011724833,0.060161665,0.049796207,0.030291129,-0.052695964,0.126492597
00:40.8,1.42E+12,0.056489907,-0.068214744,-0.03090998,0.093807184,0.052162393,0.027711772,-0.052887818,0.126583579
00:40.8,1.42E+12,0.06927974,-0.1300339,-0.040502686,0.152803682,0.054613839,0.024045255,-0.05314362,0.128033649
00:40.8,1.42E+12,0.075675055,-0.17266817,-0.067148946,0.200124941,0.056980025,0.019568684,-0.053996305,0.130616847
00:40.8,1.42E+12,0.07247766,-0.11937566,-0.12150726,0.185115028,0.059239632,0.016200594,-0.055765619,0.132885825
00:40.8,1.42E+12,0.056489907,-0.039436888,-0.1513509,0.166293333,0.060518653,0.01494289,-0.057961268,0.135245579
