time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
00:40.4,1.42E+12,6.0420356,3.4977763,-6.598578,9.606345031,5.660197576,4.30667025,-6.666099784,9.784525936
00:40.4,1.42E+12,6.2032504,3.5178347,-7.116202,10.07451276,5.678121304,4.30537694,-6.661785754,9.791330757
00:40.5,1.42E+12,6.343359,3.6516564,-7.4516544,10.4450922,5.69583547,4.307873748,-6.669581542,9.808301031
00:40.5,1.42E+12,6.4334717,3.666775,-7.651489,10.64800831,5.718537264,4.309466436,-6.681850032,9.831024732
00:40.5,1.42E+12,6.1974125,3.703748,-7.7140584,10.56562199,5.740781014,4.318384888,-6.6918672,9.8541849
00:40.5,1.42E+12,5.876031,3.696563,-7.493567,10.21498236,5.753091414,4.326399224,-6.697603274,9.868249939
00:40.5,1.42E+12,5.3846025,3.5169365,-7.1769753,9.636999579,5.751235264,4.330249214,-6.695510628,9.867004662
00:40.6,1.42E+12,5.1165104,3.3715887,-7.0841684,9.366521817,5.742337772,4.324492188,-6.692585708,9.857765114
00:40.6,1.42E+12,4.8922763,3.2846196,-6.8123336,9.00727386,5.726359998,4.3184268,-6.686023352,9.841698102
00:40.6,1.42E+12,5.1215997,3.395539,-6.899153,9.238981584,5.714378912,4.30694268,-6.683715152,9.828802392
00:40.6,1.42E+12,5.4259167,3.3913476,-6.8826876,9.397510265,5.714609434,4.29075534,-6.682817024,9.821864745
00:40.6,1.42E+12,5.633535,3.5892363,-6.961424,9.647836956,5.721737608,4.277262406,-6.68497255,9.821947176
00:40.7,1.42E+12,6.01599,3.8049376,-6.9936066,9.978988881,5.736751392,4.26294917,-6.691043922,9.828741249
00:40.7,1.42E+12,6.185587,3.771108,-6.531368,9.754050955,5.754462566,4.24360639,-6.688771642,9.829197428
00:40.7,1.42E+12,5.848937,3.4200878,-6.170019,9.16385285,5.762467918,4.212761526,-6.68120637,9.815301736
00:40.7,1.42E+12,5.8272324,3.3687446,-6.0834994,9.072708668,5.767263946,4.177677484,-6.673733912,9.797599291
00:40.7,1.42E+12,5.8742347,3.3067734,-6.3903613,9.288600604,5.76878778,4.135420352,-6.675413418,9.780629895
00:40.8,1.42E+12,5.78023,3.0226643,-6.4875093,9.199746477,5.770281672,4.083283778,-6.678664656,9.760419746
00:40.8,1.42E+12,6.1010127,3.1120286,-6.698271,9.579870164,5.776912874,4.03115019,-6.688142956,9.747339049
00:40.8,1.42E+12,6.3198576,3.4944832,-7.246281,10.2303764,5.789145436,3.98992292,-6.705770296,9.748021643
00:40.8,1.42E+12,5.936056,3.45751,-7.7294765,10.34098367,5.799375164,3.947240672,-6.735758938,9.755336279
00:40.8,1.42E+12,5.6634727,3.2937505,-7.907606,10.26907727,5.804120298,3.901576632,-6.764759628,9.758483852
00:40.9,1.42E+12,5.0512457,3.6067498,-7.578291,9.79562258,5.795692822,3.864492754,-6.785147228,9.751624724
00:40.9,1.42E+12,4.565506,3.70764,-7.450307,9.491971018,5.775640522,3.833746694,-6.801139968,9.738737915
00:40.9,1.42E+12,4.798422,3.62576,-7.089557,9.296924638,5.755444522,3.802470734,-6.812465408,9.721481721
00:40.9,1.42E+12,5.3000283,3.565286,-6.772367,9.309485433,5.74614286,3.772745554,-6.820048648,9.70804409
00:40.9,1.42E+12,5.533992,3.324736,-6.3637166,9.0650883,5.737155552,3.73969428,-6.82188982,9.689438106
00:41.0,1.42E+12,5.8674984,3.5432818,-6.125861,9.192853549,5.73610773,3.712543736,-6.819099614,9.674984412
00:41.0,1.42E+12,6.0659857,3.5341506,-6.494395,9.563658787,5.734359368,3.685698558,-6.822290984,9.66449161
00:41.0,1.42E+12,5.7327785,3.3617094,-6.9898643,9.644897218,5.725024778,3.658976132,-6.83322125,9.655379372
00:41.0,1.42E+12,5.6684127,3.2952476,-7.4648266,9.935451447,5.715336926,3.632843472,-6.852192802,9.652598133
00:41.1,1.42E+12,5.4519625,3.1698084,-7.70852,9.959561285,5.702918756,3.60615098,-6.87005665,9.648203142
00:41.1,1.42E+12,5.150639,3.0346394,-7.4226146,9.530651914,5.688306136,3.577012568,-6.878442214,9.63504163
00:41.1,1.42E+12,4.9579897,3.067571,-7.2666388,9.316420619,5.672945076,3.550712258,-6.876589064,9.615308041
00:41.1,1.42E+12,5.3184404,3.0433214,-7.0620146,9.349848322,5.66925675,3.523582666,-6.868437016,9.596942051
00:41.1,1.42E+12,5.5847363,2.7614574,-7.044501,9.404250148,5.674678476,3.494234694,-6.862072256,9.584699298
00:41.1,1.42E+12,6.071075,2.6488917,-6.7747617,9.474807385,5.693554216,3.464362816,-6.855354222,9.580277109
00:41.2,1.42E+12,6.6958756,2.5366251,-6.776408,9.858444215,5.723656608,3.432820418,-6.851519188,9.585173171
00:41.2,1.42E+12,6.671626,2.3770568,-6.377937,9.530953409,5.751825028,3.40134986,-6.845576542,9.588319578
00:41.2,1.42E+12,6.811735,2.3879843,-6.100863,9.451070419,5.777556522,3.370570866,-6.837445448,9.589410476
00:41.2,1.42E+12,6.5571146,2.3730154,-6.316265,9.408621446,5.794136046,3.341639034,-6.833155362,9.58779153
00:41.2,1.42E+12,6.310278,2.0773802,-6.365513,9.200808263,5.802401866,3.306276572,-6.832122516,9.58129026
00:41.3,1.42E+12,6.2207637,2.2135968,-6.610104,9.342985962,5.804255008,3.278635052,-6.835107306,9.576081946
00:41.3,1.42E+12,6.0742188,2.3565495,-7.0323763,9.586645712,5.799494916,3.257022994,-6.84700756,9.574840425
00:41.3,1.42E+12,6.0053616,2.287543,-7.4553967,9.842772012,5.796105958,3.233165604,-6.86993988,9.581914668
00:41.3,1.42E+12,5.998925,2.358196,-7.239246,9.693032146,5.797045998,3.21222415,-6.89212674,9.591822107
00:41.3,1.42E+12,6.020181,2.307751,-7.226822,9.684794792,5.797698638,3.18947745,-6.91399028,9.600757659
00:41.4,1.42E+12,6.047125,2.3123913,-7.323371,9.774796013,5.802820988,3.166892416,-6.938850588,9.614758237
