time,time_milisec,ax,ay,az,resultant,MA_x,MA_y,MA_z,MA_R
35:50.1,1.42E+12,-3.1490016,-9.310489,0.36688706,9.83544725,-3.058574674,-9.31339574,0.36194733,9.810047651
35:50.2,1.42E+12,-3.1184652,-9.225765,0.40161484,9.746838437,-3.061487618,-9.3116414,0.363998065,9.809364338
35:50.2,1.42E+12,-3.2061827,-9.237591,0.39248383,9.786048158,-3.064592162,-9.31138994,0.364518982,9.810141063
35:50.2,1.42E+12,-3.1524444,-9.38683,0.32602203,9.90741003,-3.064089204,-9.31468908,0.362671823,9.813030382
35:50.2,1.42E+12,-3.147804,-9.350156,0.23845413,9.868685202,-3.066035156,-9.3159285,0.35769617,9.814635479
35:50.2,1.42E+12,-3.1807356,-9.453741,0.15612534,9.975704134,-3.066493202,-9.31792536,0.352654654,9.816529778
35:50.2,1.42E+12,-3.161725,-9.326506,0.3302133,9.853388248,-3.068412208,-9.31722783,0.348505282,9.816292136
35:50.2,1.42E+12,-3.2457006,-9.234147,0.39233413,9.795813865,-3.072019706,-9.31603331,0.347652057,9.816288513
35:50.3,1.42E+12,-3.1900163,-9.086105,0.4646338,9.641026534,-3.073693224,-9.31229707,0.348262787,9.813328779
35:50.3,1.42E+12,-3.162324,-9.250613,0.37646714,9.783448342,-3.076423546,-9.30957871,0.347406567,9.811576093
35:50.3,1.42E+12,-3.0174253,-9.286388,0.20552261,9.766478233,-3.076055312,-9.30675555,0.343326052,9.808650611
35:50.3,1.42E+12,-2.910248,-9.527687,0.27916947,9.966157664,-3.074028524,-9.31083009,0.341826171,9.811880602
35:50.3,1.42E+12,-2.9530592,-9.326506,0.3240761,9.788222419,-3.072459788,-9.30839617,0.345032504,9.809165524
35:50.4,1.42E+12,-3.106041,-9.303753,0.2829117,9.812611763,-3.075073352,-9.30706095,0.344104434,9.808676543
35:50.4,1.42E+12,-3.034789,-9.441766,0.27961853,9.921445257,-3.073774052,-9.31047983,0.342826093,9.811478628
