time,time_milisec,gx,gy,gz,resultant,MA_gx,MA_gy,MA_gz,MA_gR
55:28.1,1.42E+12,0.2376842,1.021084,0.39862755,1.121610555,-0.148588511,-0.094534696,-0.096470604,1.739132235
55:28.1,1.42E+12,0.4732368,2.1029217,0.05116039,2.156119229,-0.181434101,-0.066583326,-0.115133857,1.733952469
55:28.1,1.42E+12,1.2651637,1.3642876,0.15454803,1.867031049,-0.19653002,-0.047158757,-0.129316191,1.726827958
55:28.1,1.42E+12,1.4037242,1.3674853,0.40928605,2.001992194,-0.199923334,-0.030300924,-0.129533706,1.7327255
55:28.2,1.42E+12,1.8268665,1.3866707,0.5617025,2.361314578,-0.192745164,-0.010332548,-0.126096891,1.748664532
55:28.2,1.42E+12,2.4525206,0.83029664,0.64270705,2.667830983,-0.170492826,0.003110208,-0.11837492,1.774576657
55:28.2,1.42E+12,2.2894456,0.63204855,0.609666,2.452088733,-0.14750092,0.018815179,-0.111349007,1.80011638
55:28.2,1.42E+12,1.7618499,0.9326185,0.5297272,2.062644721,-0.138691336,0.033584815,-0.104714628,1.81441633
55:28.2,1.42E+12,1.410119,0.6928022,0.402891,1.621953033,-0.136168099,0.042459653,-0.101886861,1.820202224
55:28.3,1.42E+12,1.5508114,0.1897212,0.30483288,1.591833288,-0.131513167,0.039022832,-0.100559982,1.824297401
55:28.3,1.42E+12,1.4026582,-0.19718285,0.31975457,1.452093002,-0.126009901,0.022556529,-0.098363026,1.827320102
55:28.3,1.42E+12,1.2811514,-0.28777987,0.26219887,1.338997539,-0.12159424,0.004632846,-0.09825426,1.829251625
55:28.3,1.42E+12,1.3344439,0.15987702,0.21743326,1.361461864,-0.119049254,-0.000109097,-0.099624631,1.830440859
55:28.3,1.42E+12,1.2896781,0.4210106,0.2280915,1.375698099,-0.118896993,0.002522904,-0.101778084,1.830828341
55:28.4,1.42E+12,1.1948174,0.39969334,0.23555261,1.281728683,-0.120789424,0.004806864,-0.104692859,1.828975824
55:28.4,1.42E+12,1.13513,0.44019577,0.26006725,1.244960806,-0.125422607,0.007852151,-0.10782515,1.824730473
55:28.4,1.42E+12,1.1266031,0.26539627,0.30056942,1.195830967,-0.129424987,0.007960906,-0.111370736,1.819970887
55:28.4,1.42E+12,1.0551913,0.1801285,0.35066456,1.126428244,-0.124813549,0.003458241,-0.11230607,1.822495613
55:28.4,1.42E+12,1.064784,0.19824784,0.3687839,1.144145418,-0.112001592,-0.004328983,-0.109826335,1.830192225
55:28.5,1.42E+12,1.2822173,0.2259599,0.3133598,1.339154003,-0.090532322,-0.006351926,-0.106802799,1.848720902
55:28.5,1.42E+12,1.4559507,0.190787,0.27818662,1.494516616,-0.054554446,-0.00643893,-0.105584686,1.870562452
55:28.5,1.42E+12,1.2172004,0.44978848,0.2941741,1.330573144,-0.014269667,-0.006177901,-0.102713423,1.879610004
55:28.6,1.42E+12,0.5947441,0.67361706,0.35066456,0.964596352,0.024405466,0.002109633,-0.097275411,1.872147889
55:28.6,1.42E+12,0.381574,0.4902906,0.20890635,0.655458201,0.078176514,0.009831604,-0.094665171,1.839454406
55:28.6,1.42E+12,0.16520654,0.26965997,0.20890635,0.379013936,0.146499677,0.00589449,-0.086638669,1.781447525
55:28.6,1.42E+12,-0.392233,0.14282346,0.20997214,0.467261775,0.213408954,0.009200799,-0.067801402,1.714668148
55:28.6,1.42E+12,-0.76208323,0.04263348,0.07674085,0.76712295,0.272074202,0.029625962,-0.042090489,1.649864547
55:28.6,1.42E+12,-1.3184568,-0.32508463,-0.075675584,1.360049684,0.312424233,0.037478449,-0.014465399,1.602892659
55:28.6,1.42E+12,-2.3970969,-0.0937952,-0.12683651,2.402281954,0.318145019,0.042459664,0.007895697,1.591456585
55:28.7,1.42E+12,-3.0877678,-0.0937952,-0.42953807,3.118911746,0.302896833,0.041937613,0.002675205,1.607188728
55:28.7,1.42E+12,-3.6452072,-0.30056995,-0.72264636,3.728283196,0.270790823,0.022861082,-0.000544089,1.637575823
55:28.7,1.42E+12,-3.6857095,-0.52120113,-0.9773849,3.848556402,0.2385108,0.019424256,-0.00356763,1.669406463
55:28.7,1.42E+12,-3.1176114,-0.2739237,-0.99870163,3.285108823,0.216301976,0.022752316,0.000130224,1.687719256
55:28.7,1.42E+12,-2.4365332,0.2835156,-0.640576,2.535234258,0.201793368,0.036282082,0.010962747,1.696196224
55:28.8,1.42E+12,-2.1732686,0.24194792,-0.0820709,2.188234639,0.185892617,0.053553209,0.032584271,1.70206832
55:28.8,1.42E+12,-2.0677493,0.6043365,-0.5936788,2.234561319,0.16722937,0.08620302,0.039979961,1.71096482
55:28.8,1.42E+12,-2.1807294,-0.7887295,-0.49135694,2.370465478,0.144128704,0.094621055,0.046875358,1.722660795
55:28.8,1.42E+12,-2.097593,-0.38796985,-1.016821,2.363121229,0.120941029,0.112022683,0.040436759,1.735803766
55:28.9,1.42E+12,-1.5987753,-0.20464343,-0.9613969,1.876764608,0.102234277,0.133122164,0.031692439,1.74326743
55:28.9,1.42E+12,-1.1500523,-0.20251183,-0.88785344,1.466940716,0.079633909,0.153873612,0.01988108,1.747518819
55:28.9,1.42E+12,-0.92196083,-0.5116084,-0.8313635,1.342728638,0.046657811,0.169208802,0.004328367,1.745477732
55:29.0,1.42E+12,-0.741832,-0.8292314,-0.70665914,1.318069259,0.003284243,0.177757359,-0.010832814,1.734343982
55:29.0,1.42E+12,-0.5243985,-0.86760247,-0.592613,1.174273393,-0.052422732,0.181128921,-0.025580699,1.708541687
55:29.1,1.42E+12,-0.2696605,-0.74396366,-0.45725012,0.913934563,-0.107259628,0.173167672,-0.043025839,1.676678189
55:29.1,1.42E+12,0.14388953,-0.7865979,-0.24834323,0.83732599,-0.109630602,0.133600707,-0.055729025,1.668480752
