time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
55:28.5,1.42E+12,65.7,67.9,36.4,41.4,42.8,0,90.7,70.3,0.11,0.349,-0.565
55:28.5,1.42E+12,77.3,69.7,44.6,33.8,47.1,13.4,82.5,75.4,0.032,0.174,-1.146
55:28.5,1.42E+12,87.4,57.6,38.1,23.3,38.5,0,110.8,96.1,-0.149,0.32,-1.469
55:28.6,1.42E+12,62.4,71.4,36.4,41.4,45.6,0,79.2,63.6,-0.247,0.467,-1.405
55:28.6,1.42E+12,82.4,38.9,41.3,47.6,84.1,0,97.3,70.3,0.076,0.208,-1.522
55:28.6,1.42E+12,82.4,66.2,26.7,43,51.4,0,76,78.8,-0.188,0.501,-1.293
55:28.6,1.42E+12,104.7,98.2,41.3,47.6,44.2,406.5,77.6,73.7,-0.11,0.305,0.599
55:28.6,1.42E+12,157.2,163.1,39.7,47.6,47.1,95.7,76,67,-0.31,0.34,0.09
55:28.7,1.42E+12,160.9,195.7,58,46,44.2,489.7,76,70.3,0.868,0.105,-1.371
55:28.7,1.42E+12,203.8,185.3,56.3,50.7,21.7,0,76,103.2,0.276,0.32,-0.296
55:28.7,1.42E+12,203.8,185.3,66.4,50.7,49.9,0,66.4,73.7,0.208,0.428,0.066
55:28.8,1.42E+12,176.2,177.2,69.9,58.5,34.2,0,72.8,68.7,0.315,0.486,-0.022
55:28.8,1.42E+12,189.9,175.1,66.4,47.6,55.8,0,63.2,68.7,0.071,0.301,-0.12
55:28.8,1.42E+12,189.9,175.1,69.9,64.8,61.6,0,47.6,67,0.349,0.369,0.022
55:28.8,1.42E+12,189.9,185.3,52.9,76,54.3,1,85.8,68.7,0.139,0.183,0.027
55:28.9,1.42E+12,153.4,155.1,69.9,60.1,67.5,6.2,56.9,89.2,0.11,0.183,-0.105
55:28.9,1.42E+12,146,149.2,99.6,61.6,55.8,0,80.9,103.2,0.232,0.198,0.002
55:28.9,1.42E+12,135,145.3,51.3,47.6,54.3,0,92.3,85.7,0.193,0.437,0.076
55:28.9,1.42E+12,109.9,128,92.5,77.6,58.7,15.5,97.3,99.7,0.12,0.174,-0.11
55:29.0,1.42E+12,122.3,118.6,76.7,47.6,55.8,0,89,119.3,0.203,0.217,-0.081
55:29.0,1.42E+12,108.2,103.7,61.3,58.5,107.4,0,109.1,141.4,0.271,0.34,-0.076
55:29.1,1.42E+12,101.2,87.4,71.6,60.1,54.3,0,121.1,175.9,0.071,0.188,-0.017
55:29.1,1.42E+12,96,80.3,64.7,58.5,73.5,0,133.3,181.8,0.174,0.516,-0.076
55:29.1,1.42E+12,92.6,78.5,63,63.2,44.2,0,143.9,278.9,0.154,0.198,-0.046
55:29.1,1.42E+12,90.8,85.6,43,27.8,58.7,2,133.3,261.1,0.081,0.467,-0.071
55:29.3,1.42E+12,75.6,71.4,92.5,52.2,57.2,0,140.3,265.5,0.286,0.462,-0.237
55:29.3,1.42E+12,87.4,74.9,51.3,47.6,57.2,5.1,126.3,263.3,0.056,0.198,-0.359
55:29.3,1.42E+12,101.2,73.2,44.6,53.8,48.5,0,112.5,265.5,0.217,0.34,-0.398
55:29.4,1.42E+12,89.1,62.7,43,46,60.1,0,114.2,243.7,0.002,0.34,-0.364
55:29.4,1.42E+12,85.7,61,46.3,52.2,58.7,4.1,112.5,128.4,0.159,0.535,-0.486
55:29.4,1.42E+12,87.4,64.5,51.3,47.6,44.2,0,102.3,147,0.237,0.193,-0.848
55:29.4,1.42E+12,87.4,50.7,41.3,43,49.9,15.5,92.3,105,0.208,0.437,-0.501
55:29.4,1.42E+12,79,62.7,26.7,55.4,51.4,0,85.8,92.6,0.472,0.188,0.002
55:29.4,1.42E+12,89.1,64.5,39.7,47.6,51.4,3.1,77.6,92.6,0.755,0.174,0.833
55:29.5,1.42E+12,101.2,64.5,39.7,47.6,39.9,0,72.8,87.4,0.892,0.359,0.609
55:29.5,1.42E+12,129.5,76.7,17.2,58.5,48.5,0,82.5,82.3,0.437,0.188,0.213
55:29.5,1.42E+12,82.4,22.4,38.1,46,60.1,0,97.3,77.1,0.354,0.193,-0.037
55:29.5,1.42E+12,84,61,51.3,43,47.1,0,80.9,82.3,0.408,0.217,-0.027
55:29.5,1.42E+12,85.7,38.9,47.9,46,42.8,7.2,82.5,77.1,0.257,0.447,-0.11
55:29.5,1.42E+12,77.3,62.7,17.2,52.2,48.5,1,82.5,84,-0.017,0.051,-0.569
55:29.6,1.42E+12,75.6,78.5,39.7,47.6,48.5,7.2,69.6,75.4,0.086,0.403,-0.819
55:29.6,1.42E+12,101.2,55.8,31.6,53.8,47.1,0,74.4,78.8,0.193,0.33,-1.371
55:29.6,1.42E+12,87.4,54.1,33.2,46,49.9,0,76,117.5,-0.227,0.34,-1.42
55:29.6,1.42E+12,79,22.4,34.8,47.6,44.2,5.1,53.8,78.8,-0.056,0.193,-1.464
55:29.6,1.42E+12,82.4,57.6,31.6,39.9,42.8,0,79.2,103.2,0.105,0.315,-1.376
55:29.7,1.42E+12,80.7,61,23.5,20.4,49.9,36.9,61.6,70.3,-0.051,0.467,-0.486
55:29.7,1.42E+12,131.3,120.4,75,47.6,47.1,210.8,66.4,73.7,0.09,0.315,0.457
55:29.7,1.42E+12,207.8,179.2,46.3,47.6,42.8,489.7,82.5,72,-0.472,0.203,-1.219
55:29.8,1.42E+12,224.1,187.4,61.3,50.7,49.9,33.7,69.6,73.7,0.086,0.266,0.511
55:29.8,1.42E+12,251.4,197.8,38.1,66.4,45.6,1,71.2,62,0.242,0.203,-0.012
55:29.8,1.42E+12,207.8,179.2,59.7,55.4,44.2,0,50.7,72,0.12,0.188,-0.12
