time,time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G)
55:28.4,1.42136E+12,116.9,165.2,91.5,33.7,123.6,120.1,70.9,61.3,-1.43,-1.488,-1.576
55:28.4,1.42136E+12,104.7,153.6,106.1,33.7,132.9,127.2,80.1,70.1,-1.439,-1.488,-1.513
55:28.4,1.42136E+12,87.8,123.3,102.4,33.7,144.1,132.6,87.5,66.6,-1.435,-1.488,-1.537
55:28.5,1.42136E+12,76.1,105.1,106.1,36.9,136.6,145.4,102.6,87.9,-1.43,-1.488,-1.513
55:28.5,1.42136E+12,76.1,85.5,95.1,30.6,140.3,150.9,114.1,102.4,-1.449,-1.478,-1.532
55:28.5,1.42136E+12,61.5,83.8,93.3,25.9,140.3,162.1,129.7,128.7,-1.43,-1.488,-1.537
55:28.6,1.42136E+12,63.1,80.3,91.5,24.3,144.1,171.6,151.8,155.9,-1.435,-1.488,-1.537
55:28.6,1.42136E+12,50.3,75.1,87.9,27.5,136.6,179.3,141.7,182.1,-1.425,-1.488,-1.586
55:28.6,1.42136E+12,58.3,80.3,91.5,29,146,175.4,139.7,205,-1.435,-1.483,-1.503
55:28.6,1.42136E+12,56.7,69.9,80.7,27.5,127.3,181.2,139.7,215.7,-1.439,-1.469,-1.527
55:28.7,1.42136E+12,51.9,68.2,75.4,29,116.4,177.4,125.8,220,-1.386,-1.478,-1.537
55:28.7,1.42136E+12,56.7,61.4,64.8,29,107.4,158.4,116,207.2,-1.449,-1.459,-1.532
55:28.7,1.42136E+12,61.5,66.5,68.3,25.9,98.5,149.1,112.2,186.2,-1.439,-1.493,-1.547
55:28.7,1.42136E+12,51.9,64.8,59.6,24.3,100.2,129,119.9,124.9,-1.444,-1.454,-1.542
55:28.8,1.42136E+12,51.9,61.4,51,29,79.3,97.4,65.5,93.3,-1.435,-1.488,-1.537
55:28.8,1.42136E+12,55.1,71.6,47.6,25.9,62.3,80.4,69.1,84.3,-1.439,-1.488,-1.513
