time,time_milisec,ax,ay,az,resultant,MA_ax,MA_ay,MA_az,MA_R
41:18.1,1.42E+12,3.2314801,-4.1282654,-7.720196,9.332012919,2.986179206,-6.28272003,-6.663791596,9.809992762
41:18.1,1.42E+12,3.0596375,-3.9546263,-8.034542,9.463314216,2.997459752,-6.210153936,-6.721526536,9.809281462
41:18.1,1.42E+12,2.8864477,-4.2228684,-8.231382,9.691225283,3.00907859,-6.129708224,-6.790577928,9.807009084
41:18.2,1.42E+12,2.5842261,-4.1580534,-7.8237805,9.229256412,3.007797256,-6.035551032,-6.851309638,9.783233847
41:18.3,1.42E+12,2.1323159,-4.0838075,-7.8594065,9.110133112,3.01278788,-5.928529582,-6.892656668,9.740839323
41:18.3,1.42E+12,2.084116,-3.9216948,-7.961494,9.116392725,3.031843254,-5.827833978,-6.913373588,9.695603568
41:18.3,1.42E+12,2.1950355,-3.6706667,-8.616831,9.619862335,3.050422622,-5.743391572,-6.943715488,9.674173535
41:18.3,1.42E+12,2.0896544,-3.0832882,-8.41535,9.202795079,3.05000349,-5.655829656,-6.991026098,9.661529416
41:18.3,1.42E+12,1.7298028,-2.852618,-8.315957,8.9601779,3.029606904,-5.568869488,-7.06057747,9.658722535
41:18.3,1.42E+12,2.1734803,-2.5450077,-8.963061,9.567525453,3.023469668,-5.488423782,-7.152872538,9.684919523
41:18.3,1.42E+12,2.6277854,-2.7651997,-9.429192,10.1715902,3.033807168,-5.409762356,-7.239548298,9.71481641
41:18.3,1.42E+12,2.126029,-2.780468,-9.267677,9.906605805,3.041965206,-5.319212656,-7.309800198,9.723761733
41:18.3,1.42E+12,1.4310242,-2.512525,-8.98746,9.441136022,3.038582242,-5.212454656,-7.364897614,9.709572244
41:18.4,1.42E+12,1.097368,-2.4324417,-9.139694,9.521291696,3.024481564,-5.09437121,-7.406118894,9.67831832
41:18.4,1.42E+12,1.1009605,-2.3430777,-9.52634,9.871842833,3.014895496,-4.970946864,-7.452905602,9.650683198
